레벨,소모 RP,누적 RP,효과
117,59,"3,481",경험치+117%
118,59,"3,540",경험치+118%
119,60,"3,600",경험치+119%
120,60,"3,660",경험치+120%
121,61,"3,721",경험치+121%
122,61,"3,782",경험치+122%
123,62,"3,844",경험치+123%
124,62,"3,906",경험치+124%
125,63,"3,969",경험치+125%
126,63,"4,032",경험치+126%
127,64,"4,096",경험치+127%
128,64,"4,160",경험치+128%
129,65,"4,225",경험치+129%
130,65,"4,290",경험치+130%
131,66,"4,356",경험치+131%
132,66,"4,422",경험치+132%
133,67,"4,489",경험치+133%
134,67,"4,556",경험치+134%
135,68,"4,624",경험치+135%
136,68,"4,692",경험치+136%
137,69,"4,761",경험치+137%
138,69,"4,830",경험치+138%
139,70,"4,900",경험치+139%
140,70,"4,970",경험치+140%
141,71,"5,041",경험치+141%
142,71,"5,112",경험치+142%
143,72,"5,184",경험치+143%
144,72,"5,256",경험치+144%
145,73,"5,329",경험치+145%
146,73,"5,402",경험치+146%
147,74,"5,476",경험치+147%
148,74,"5,550",경험치+148%
149,75,"5,625",경험치+149%
150,75,"5,700",경험치+150%
151,76,"5,776",경험치+151%
152,76,"5,852",경험치+152%
153,77,"5,929",경험치+153%
154,77,"6,006",경험치+154%
155,78,"6,084",경험치+155%
156,78,"6,162",경험치+156%
157,79,"6,241",경험치+157%
158,79,"6,320",경험치+158%
159,80,"6,400",경험치+159%
160,80,"6,480",경험치+160%
161,81,"6,561",경험치+161%
162,81,"6,642",경험치+162%
163,82,"6,724",경험치+163%
164,82,"6,806",경험치+164%
165,83,"6,889",경험치+165%
166,83,"6,972",경험치+166%
167,84,"7,056",경험치+167%
168,84,"7,140",경험치+168%
169,85,"7,225",경험치+169%
170,85,"7,310",경험치+170%
171,86,"7,396",경험치+171%
172,86,"7,482",경험치+172%
173,87,"7,569",경험치+173%
174,87,"7,656",경험치+174%
175,88,"7,744",경험치+175%
176,88,"7,832",경험치+176%
177,89,"7,921",경험치+177%
178,89,"8,010",경험치+178%
179,90,"8,100",경험치+179%
180,90,"8,190",경험치+180%
181,91,"8,281",경험치+181%
182,91,"8,372",경험치+182%
183,92,"8,464",경험치+183%
184,92,"8,556",경험치+184%
185,93,"8,649",경험치+185%
186,93,"8,742",경험치+186%
187,94,"8,836",경험치+187%
188,94,"8,930",경험치+188%
189,95,"9,025",경험치+189%
190,95,"9,120",경험치+190%
191,96,"9,216",경험치+191%
192,96,"9,312",경험치+192%
193,97,"9,409",경험치+193%
194,97,"9,506",경험치+194%
195,98,"9,604",경험치+195%
196,98,"9,702",경험치+196%
197,99,"9,801",경험치+197%
198,99,"9,900",경험치+198%
199,100,"10,000",경험치+199%
200,100,"10,100",경험치+200%
