"레벨","몬스터명","체력","경험치","경험치/체력 비율
(낮을수록 좋음)","입장 제한 RP","맵 유형","위치
(게임 내 표기)","이세계 조각, 구슬(%)"
"46","메카티안","2600","110","23.636","0","일반 필드","지구방위본부-통제구역 던전1
지구방위본부-통제구역 던전2","미드랍"
"49","원로 그레이","9000","580","15.517","0","일반 필드","지구방위본부-쿨란초원 던전2","미드랍"
"54","머신 MT-09","13500","980","13.775","0","일반 필드","지구방위본부-통제구역 던전2","미드랍"
"65","제노","36000","940","38.297","0","일반 필드","지구방위본부-통제구역 던전2","미드랍"
"95","엘리트 스포아","53000","2300","23.043","2000","엘리트 던전","빅토리아-리스항구던전","0.000004"
"95","엘리트 초록버섯","53000","2300","23.043","5000","엘리트 던전","빅토리아-헤네시스던전","0.00001"
"98","엘리트 빨간달팽이","58000","2600","22.308","2000","엘리트 던전","빅토리아-리스항구던전","0.000004"
"98","엘리트 파란버섯","58000","2600","22.308","5000","엘리트 던전","빅토리아-헤네시스던전","0.00001"
"98","기간틱 바이킹","58000","2600","22.308","0","일반 필드","루디브리엄-시계탑 최하층 좌측던전4","미드랍"
"99","G.팬텀워치","60000","2800","21.429","0","일반 필드","루디브리엄-시계탑 최하층 우측던전3
루디브리엄-시계탑 최하층 우측던전4","미드랍"
"99","엘리트 리본돼지","60000","2800","21.429","2000","엘리트 던전","빅토리아-리스항구던전","0.000004"
"99","엘리트 스톤 골렘","60000","2800","21.429","5000","엘리트 던전","빅토리아-헤네시스던전","0.00001"
"108","타나토스","70000","4100","17.073","0","일반 필드
슈피겔만","루디브리엄-시계탑 최하층 중앙던전1
마을 왼쪽 NPC
왼쪽 두 번째 던전","미드랍"
"120","엘리트 리티","79500","2990","26.589","100000","엘리트 던전","오르비스-오르비스탑","0.0002"
"83","엘리쟈","87000","2800","31.071","0","일반 필드","오르비스-하늘계단던전3","미드랍"
"120","엘리트 주니어 페페","87000","3380","25.74","100000","엘리트 던전","오르비스-오르비스탑","0.0002"
"120","엘리트 다크 리티","90000","3640","24.725","100000","엘리트 던전","오르비스-오르비스탑","0.0002"
"85","키메라","90000","3000","30","0","일반 필드","마가티아-제뉴미스트 연구소던전3","미드랍"
"140","엘리트 주니어 루이넬","106000","3450","30.725","250000","엘리트 던전","오르비스-하늘계단","0.0005"
"140","엘리트 루이넬","116000","3900","29.744","250000","엘리트 던전","오르비스-하늘계단","0.0005"
"140","엘리트 더키패밀리","119250","3890","30.656","800000","엘리트 던전","루디브리엄-하늘테라스","0.0016"
"140","엘리트 엘리쟈","120000","4200","28.571","250000","엘리트 던전","오르비스-하늘계단","0.0005"
"140","엘리트 팬더테니","130500","4390","29.727","800000","엘리트 던전","루디브리엄-하늘테라스","0.0016"
"140","엘리트 장난감 목마","135000","4730","28.541","800000","엘리트 던전","루디브리엄-하늘테라스","0.0016"
"145","엘리트 화이트 팽","135000","4750","28.421","1000000","슈피겔만","마을 왼쪽 NPC
100만엘리트 던전","0.002"
"140","엘리트 마스터 크로노스","171000","5010","34.132","1500000","엘리트 던전","루디브리엄-시간의길","0.003"
"160","엘리트 레이지버피","294000","4600","63.913","3000000","엘리트 던전","루디브리엄-시계탑 최하층 중앙","0.006"
"160","엘리트 마스터 소울테니","300000","4700","63.83","3000000","엘리트 던전","루디브리엄-시계탑 최하층 중앙","0.006"
"160","엘리트 다크 클라크","306000","4800","63.75","3000000","엘리트 던전","루디브리엄-시계탑 최하층 중앙","0.006"
"162","엘리트 예티","310000","4900","63.265","3000000","슈피겔만","마을 왼쪽 NPC
300만엘리트 던전","0.006"
"160","엘리트 딥 버푼","312000","4900","63.673","3000000","엘리트 던전","루디브리엄-시계탑 최하층 중앙","0.006"
"160","엘리트 듀얼 파이렛","318000","5000","63.6","3000000","엘리트 던전","루디브리엄-시계탑 최하층 중앙","0.006"
"160","엘리트 마스터 데스테니","324000","5100","63.529","3000000","엘리트 던전","루디브리엄-시계탑 최하층 중앙","0.006"
"160","엘리트 기간틱 바이킹","330000","5200","63.462","3000000","엘리트 던전","루디브리엄-시계탑 최하층 중앙","0.006"
"160","엘리트 G.팬텀워치","336000","5300","63.396","3000000","엘리트 던전","루디브리엄-시계탑 최하층 중앙","0.006"
"165","엘리트 버크","480000","5500","87.273","5000000","슈피겔만","마을 왼쪽 NPC
500만엘리트 던전","0.01"
"90","스노우맨","129100","5200","24.8269","0","일반 필드","엘나스-엘나스 산맥-얼음골짜기
엘나스-엘나스 산맥-날카로운 절벽","미드랍"
"170","엘리트 검은캔타우로스","1800000","18000","100","20000000","슈피겔만","마을 왼쪽 NPC
2000만엘리트 던전","0.04"
"175","엘리트 블루 드래곤터틀","3375000","30000","112.5","40000000","슈피겔만","마을 왼쪽 NPC
4000만엘리트 던전","0.08"
"170","엘리트 키메라","4000000","40000","100","20000000","엘리트 던전","마가티아-제뉴미스트 연구소","0.04"
"178","엘리트 리스튼","5200000","45000","115.556","60000000","슈피겔만","마을 왼쪽 NPC
6000만엘리트 던전","0.12"
"182","엘리트 레드와이번","6800000","58000","117.241","80000000","슈피겔만","마을 왼쪽 NPC
8000만엘리트 던전","0.16"
"180","엘리트 로이드","7000000","80000","87.5","40000000","엘리트 던전","마가티아-알카드노 연구소","0.08"
"180","엘리트 네오 휴로이드","7500000","84000","89.286","40000000","엘리트 던전","마가티아-알카드노 연구소","0.08"
"180","엘리트 D.로이","8000000","89000","89.888","40000000","엘리트 던전","마가티아-알카드노 연구소","0.08"
"185","엘리트 스켈레곤","8500000","72000","118.056","100000000","슈피겔만","마을 왼쪽 NPC
1억엘리트 던전","0.2"
"190","엘리트 헥터","10000000","130000","76.923","100000000","엘리트 던전","엘나스-엘나스 산맥-차가운 벌판","0.2"
"195","엘리트 화이트 팽","11000000","145000","75.862","100000000","엘리트 던전","엘나스-엘나스 산맥-차가운 벌판","0.2"
"200","엘리트 페페","12000000","160000","75","100000000","엘리트 던전","엘나스-엘나스 산맥-차가운 벌판","0.2"
"140","슈퍼 달팽이","22000000","896000","24.554","10000","슈퍼 던전","빅토리아-리스항구","0.0012"
"140","슈퍼 스톤 골렘","26565000","1081920","24.55","50000","슈퍼 던전","빅토리아-헤네시스","0.006"
"160","슈퍼 엘리쟈","52000000","3000000","17.333","300000","슈퍼 던전","오르비스-하늘계단","0.036"
"180","슈퍼 롬바드","130000000","9000000","14.444","3000000","슈퍼 던전","루디브리엄-에오스탑","0.36"
"180","슈퍼 파풀라투스","160500000","10700000","15.42","15000000","슈퍼 던전","루디브리엄-에오스탑","1.8"
"300","기억 속 제네로이드","450000000","160000","2812.5","초월 4","초월 던전","마을 왼쪽 NPC
특별-초월 던전1","미드랍"
"200","슈퍼 디트와 로이","1800000000","150000000","12","40000000","슈퍼 던전","마가티아-알카드노 연구소","4.8"
"200","슈퍼 키메라","1980000000","77000000","25.71","200000000","슈퍼 던전","마가티아-알카드노 연구소","24"
"300","합금 제네로이드 B형","2700000000","1100000","2454.545","초월 5","초월 던전","마을 왼쪽 NPC
특별-초월 던전2","미드랍"
"300","강철 제네로이드 B형","6000000000000","10000000000","600","초월 7","초월 던전","마을 왼쪽 NPC
특별-초월 던전3","미드랍"
"300","기억속의 제네로이드 B형","3000000000000000","700000000000","4,285.714","초월 8","초월 던전","마을 왼쪽 NPC
특별-초월 던전4","미드랍"
"220","슈퍼 루루모","4000000000","175000000","22.857","1000000000","슈퍼 던전","마가티아-출입 금지","120"
"220","슈퍼 자동경비시스템","4520000000","423750000","10.667","2500000000","슈퍼 던전","마가티아-출입 금지","120"
"300","슈퍼 쿨리 좀비","44000000000","3000000000","14.667","5000000000","슈퍼 던전","엘나스-엘나스 산맥-죽은 나무의 숲","이세계구슬1%"
"300","슈퍼 마이너 좀비","50600000000","3450000000","14.667","25000000000","슈퍼 던전","엘나스-엘나스 산맥-죽은 나무의 숲","이세계구슬1.15%"
"300","슈퍼 리치","48400000000","3960000000","12.222","50000000000","슈퍼 던전","엘나스-엘나스 산맥-시련의 동굴","이세계구슬2.2%"
"350","슈퍼 천록","115000000000","8625000000","13.333","300000000000","슈퍼 던전","무릉-천도 과수원","이세계구슬3.45%"
"380","슈퍼 태륜","720000000000","11880000000","66.667","2000000000000","슈퍼 던전","무릉-야생곰의 영토","이세계구슬4.8%"
"400","슈퍼 거대 도라지","5250000000000","52500000000","100","15000000000000","슈퍼 던전","무릉-약초밭","이세계구슬7.5%"
"420","슈퍼 제노","28160000000000","1152000000000","24.444","150000000000000","슈퍼 던전","지구방위본부-실험실","이세계구슬51.2%"
"450","슈퍼 드론","687830000000000","7150000000000","96.2","1000000000000000","슈퍼 던전","지구방위본부-격납고","이세계구슬68%"
"450","슈퍼 뉴그레이 블랙","10000000000000000","90000000000000","111.11","20000000000000000","슈퍼 던전","지구방위본부-UFO내부","이세계구슬60%"
"480","슈퍼 코니언","200000000000000000","800000000000000","250","200000000000000000","슈퍼 던전","리프레-용의숲","이세계구슬8개"
"520","슈퍼 켄타우로스","3000000000000000000","660000000000000","4,545.45","2000000000000000000","슈퍼 던전","리프레-미나르 숲","이세계구슬6개"
