레벨,보스 HP,보스 HP 원본,수호자의돌
101,11해 4450경,"1,144,503,513,133,838,814,413",111개
102,13해 7340경,"1,373,404,215,760,606,577,296",112개
103,16해 4808경,"1,648,085,058,912,727,892,755",113개
104,19해 7770경,"1,977,702,070,695,273,471,306",114개
105,23해 7324경,"2,373,242,484,834,328,165,567",115개
106,28해 4789경,"2,847,890,981,801,193,798,680",116개
107,34해 1746경,"3,417,469,178,161,432,558,416",117개
108,41해 96경,"4,100,963,013,793,719,070,099",118개
109,49해 2115경,"4,921,155,616,552,462,884,119",119개
110,59해 538경,"5,905,386,739,862,955,460,943",120개
111,70해 8646경,"7,086,464,087,835,546,553,132",121개
112,85해 375경,"8,503,756,905,402,655,863,758",122개
113,102해 450경,"10,204,508,286,483,187,036,510",123개
114,122해 4540경,"12,245,409,943,779,824,443,812",124개
115,146해 9449경,"14,694,491,932,535,789,332,574",125개
116,176해 3339경,"17,633,390,319,042,947,199,089",126개
117,211해 6006경,"21,160,068,382,851,536,638,907",127개
118,253해 9208경,"25,392,082,059,421,843,966,688",128개
119,304해 7049경,"30,470,498,471,306,212,760,026",129개
120,365해 6459경,"36,564,598,165,567,455,312,031",130개
121,438해 7751경,"43,877,517,798,680,946,374,437",131개
122,526해 5302경,"52,653,021,358,417,135,649,324",132개
123,631해 8362경,"63,183,625,630,100,562,779,189",133개
124,758해 2035경,"75,820,350,756,120,675,335,027",134개
125,909해 8442경,"90,984,420,907,344,810,402,032",135개
126,1091해 8130경,"109,181,305,088,813,772,482,438",136개
127,1310해 1756경,"131,017,566,106,576,526,978,926",137개
128,1572해 2107경,"157,221,079,327,891,832,374,711",138개
129,1886해 6529경,"188,665,295,193,470,198,849,653",139개
130,2263해 9835경,"226,398,354,232,164,238,619,584",140개
131,2716해 7802경,"271,678,025,078,597,086,343,501",141개
132,3260해 1363경,"326,013,630,094,316,503,612,201",142개
133,3912해 1635경,"391,216,356,113,179,804,334,641",143개
134,4694해 5962경,"469,459,627,335,815,765,201,569",144개
135,5633해 5155경,"563,351,552,802,978,918,241,883",145개
136,6760해 2186경,"676,021,863,363,574,701,890,260",146개
137,8112해 2623경,"811,226,236,036,289,642,268,312",147개
138,9734해 7148경,"973,471,483,243,547,570,721,974",148개
139,1자 1681해,"1,168,165,779,892,257,084,866,369",149개
140,1자 4017해,"1,401,798,935,870,708,501,839,643",150개
141,1자 6821해,"1,682,158,723,044,850,202,207,572",151개
142,2자 185해,"2,018,590,467,653,820,242,649,086",152개
143,2자 4223해,"2,422,308,561,184,584,291,178,903",153개
144,2자 9067해,"2,906,770,273,421,501,149,414,684",154개
145,3자 4881해,"3,488,124,328,105,801,379,297,621",155개
146,4자 1857해,"4,185,749,193,726,961,655,157,145",156개
147,5자 228해,"5,022,899,032,472,353,986,188,574",157개
148,6자 274해,"6,027,478,838,966,824,783,426,289",158개
149,7자 2329해,"7,232,974,606,760,189,740,111,547",159개
150,8자 6795해,"8,679,569,528,112,227,688,133,856",160개
