id,level,need,cumStone,unlockGem,cumGem
threeGems,74,15,585,0,1542
threeGems,75,15,600,114,1656
threeGems,76,16,616,0,1656
threeGems,77,16,632,0,1656
threeGems,78,16,648,0,1656
threeGems,79,16,664,0,1656
threeGems,80,16,680,117,1773
threeGems,81,17,697,0,1773
threeGems,82,17,714,0,1773
threeGems,83,17,731,0,1773
threeGems,84,17,748,0,1773
threeGems,85,17,765,120,1893
threeGems,86,18,783,0,1893
threeGems,87,18,801,0,1893
threeGems,88,18,819,0,1893
threeGems,89,18,837,0,1893
threeGems,90,18,855,124,2017
threeGems,91,19,874,0,2017
threeGems,92,19,893,0,2017
threeGems,93,19,912,0,2017
threeGems,94,19,931,0,2017
threeGems,95,19,950,128,2145
threeGems,96,20,970,0,2145
threeGems,97,20,990,0,2145
threeGems,98,20,1010,0,2145
threeGems,99,20,1030,0,2145
threeGems,100,20,1050,133,2278
threeGems,101,21,1071,0,2278
threeGems,102,21,1092,0,2278
threeGems,103,21,1113,0,2278
threeGems,104,21,1134,0,2278
threeGems,105,21,1155,138,2416
threeGems,106,22,1177,0,2416
threeGems,107,22,1199,0,2416
threeGems,108,22,1221,0,2416
threeGems,109,22,1243,0,2416
threeGems,110,22,1265,144,2560
threeGems,111,23,1288,0,2560
threeGems,112,23,1311,0,2560
threeGems,113,23,1334,0,2560
threeGems,114,23,1357,0,2560
threeGems,115,23,1380,150,2710
threeGems,116,24,1404,0,2710
threeGems,117,24,1428,0,2710
threeGems,118,24,1452,0,2710
threeGems,119,24,1476,0,2710
threeGems,120,24,1500,157,2867
threeGems,121,25,1525,0,2867
threeGems,122,25,1550,0,2867
threeGems,123,25,1575,0,2867
threeGems,124,25,1600,0,2867
threeGems,125,25,1625,165,3032
threeGems,126,26,1651,0,3032
threeGems,127,26,1677,0,3032
threeGems,128,26,1703,0,3032
threeGems,129,26,1729,0,3032
threeGems,130,26,1755,173,3205
threeGems,131,27,1782,0,3205
threeGems,132,27,1809,0,3205
threeGems,133,27,1836,0,3205
threeGems,134,27,1863,0,3205
threeGems,135,27,1890,181,3386
threeGems,136,28,1918,0,3386
threeGems,137,28,1946,0,3386
threeGems,138,28,1974,0,3386
threeGems,139,28,2002,0,3386
threeGems,140,28,2030,191,3577
threeGems,141,29,2059,0,3577
threeGems,142,29,2088,0,3577
threeGems,143,29,2117,0,3577
threeGems,144,29,2146,0,3577
threeGems,145,29,2175,201,3778
threeGems,146,30,2205,0,3778
threeGems,147,30,2235,0,3778
threeGems,148,30,2265,0,3778
threeGems,149,30,2295,0,3778
threeGems,150,30,2325,212,3990
threeGems,151,31,2356,0,3990
threeGems,152,31,2387,0,3990
threeGems,153,31,2418,0,3990
threeGems,154,31,2449,0,3990
threeGems,155,31,2480,224,4214
threeGems,156,32,2512,0,4214
threeGems,157,32,2544,0,4214
threeGems,158,32,2576,0,4214
threeGems,159,32,2608,0,4214
threeGems,160,32,2640,236,4450
threeGems,161,33,2673,0,4450
threeGems,162,33,2706,0,4450
threeGems,163,33,2739,0,4450
threeGems,164,33,2772,0,4450
threeGems,165,33,2805,249,4699
threeGems,166,34,2839,0,4699
threeGems,167,34,2873,0,4699
threeGems,168,34,2907,0,4699
threeGems,169,34,2941,0,4699
threeGems,170,34,2975,263,4962
threeGems,171,35,3010,0,4962
threeGems,172,35,3045,0,4962
threeGems,173,35,3080,0,4962
threeGems,174,35,3115,0,4962
threeGems,175,35,3150,278,5240
threeGems,176,36,3186,0,5240
threeGems,177,36,3222,0,5240
threeGems,178,36,3258,0,5240
threeGems,179,36,3294,0,5240
threeGems,180,36,3330,294,5534
threeGems,181,37,3367,0,5534
threeGems,182,37,3404,0,5534
threeGems,183,37,3441,0,5534
threeGems,184,37,3478,0,5534
threeGems,185,37,3515,310,5844
threeGems,186,38,3553,0,5844
threeGems,187,38,3591,0,5844
threeGems,188,38,3629,0,5844
threeGems,189,38,3667,0,5844
threeGems,190,38,3705,328,6172
threeGems,191,39,3744,0,6172
threeGems,192,39,3783,0,6172
threeGems,193,39,3822,0,6172
threeGems,194,39,3861,0,6172
threeGems,195,39,3900,346,6518
threeGems,196,40,3940,0,6518
threeGems,197,40,3980,0,6518
threeGems,198,40,4020,0,6518
threeGems,199,40,4060,0,6518
threeGems,200,40,4100,366,6884
threeGems,201,41,4141,0,6884
threeGems,202,41,4182,0,6884
threeGems,203,41,4223,0,6884
threeGems,204,41,4264,0,6884
threeGems,205,41,4305,386,7270
threeGems,206,42,4347,0,7270
threeGems,207,42,4389,0,7270
threeGems,208,42,4431,0,7270
threeGems,209,42,4473,0,7270
threeGems,210,42,4515,408,7678
threeGems,211,43,4558,0,7678
threeGems,212,43,4601,0,7678
threeGems,213,43,4644,0,7678
threeGems,214,43,4687,0,7678
threeGems,215,43,4730,430,8108
threeGems,216,44,4774,0,8108
threeGems,217,44,4818,0,8108
threeGems,218,44,4862,0,8108
threeGems,219,44,4906,0,8108
threeGems,220,44,4950,454,8562
threeGems,221,45,4995,0,8562
threeGems,222,45,5040,0,8562
threeGems,223,45,5085,0,8562
threeGems,224,45,5130,0,8562
threeGems,225,45,5175,479,9041
threeGems,226,46,5221,0,9041
threeGems,227,46,5267,0,9041
threeGems,228,46,5313,0,9041
threeGems,229,46,5359,0,9041
threeGems,230,46,5405,505,9546
threeGems,231,47,5452,0,9546
threeGems,232,47,5499,0,9546
threeGems,233,47,5546,0,9546
threeGems,234,47,5593,0,9546
threeGems,235,47,5640,532,10078
threeGems,236,48,5688,0,10078
threeGems,237,48,5736,0,10078
threeGems,238,48,5784,0,10078
threeGems,239,48,5832,0,10078
threeGems,240,48,5880,560,10638
threeGems,241,49,5929,0,10638
threeGems,242,49,5978,0,10638
threeGems,243,49,6027,0,10638
threeGems,244,49,6076,0,10638
threeGems,245,49,6125,589,11227
threeGems,246,50,6175,0,11227
threeGems,247,50,6225,0,11227
threeGems,248,50,6275,0,11227
threeGems,249,50,6325,0,11227
threeGems,250,50,6375,620,11847
threeGems,251,51,6426,0,11847
threeGems,252,51,6477,0,11847
threeGems,253,51,6528,0,11847
threeGems,254,51,6579,0,11847
threeGems,255,51,6630,652,12499
threeGems,256,52,6682,0,12499
threeGems,257,52,6734,0,12499
threeGems,258,52,6786,0,12499
threeGems,259,52,6838,0,12499
threeGems,260,52,6890,685,13184
threeGems,261,53,6943,0,13184
threeGems,262,53,6996,0,13184
threeGems,263,53,7049,0,13184
threeGems,264,53,7102,0,13184
threeGems,265,53,7155,719,13903
threeGems,266,54,7209,0,13903
threeGems,267,54,7263,0,13903
threeGems,268,54,7317,0,13903
threeGems,269,54,7371,0,13903
threeGems,270,54,7425,755,14658
threeGems,271,55,7480,0,14658
threeGems,272,55,7535,0,14658
threeGems,273,55,7590,0,14658
threeGems,274,55,7645,0,14658
threeGems,275,55,7700,792,15450
threeGems,276,56,7756,0,15450
threeGems,277,56,7812,0,15450
threeGems,278,56,7868,0,15450
threeGems,279,56,7924,0,15450
threeGems,280,56,7980,831,16281
threeGems,281,57,8037,0,16281
threeGems,282,57,8094,0,16281
threeGems,283,57,8151,0,16281
threeGems,284,57,8208,0,16281
threeGems,285,57,8265,870,17151
threeGems,286,58,8323,0,17151
threeGems,287,58,8381,0,17151
threeGems,288,58,8439,0,17151
threeGems,289,58,8497,0,17151
threeGems,290,58,8555,912,18063
threeGems,291,59,8614,0,18063
threeGems,292,59,8673,0,18063
threeGems,293,59,8732,0,18063
threeGems,294,59,8791,0,18063
threeGems,295,59,8850,955,19018
threeGems,296,60,8910,0,19018
threeGems,297,60,8970,0,19018
threeGems,298,60,9030,0,19018
threeGems,299,60,9090,0,19018
threeGems,300,60,9150,0,19018
legendHorn,0,0,0,100,100
legendHorn,1,2,2,0,100
legendHorn,2,3,5,0,100
legendHorn,3,5,10,0,100
legendHorn,4,7,17,0,100
legendHorn,5,11,28,107,207
legendHorn,6,13,41,0,207
legendHorn,7,17,58,0,207
legendHorn,8,19,77,0,207
legendHorn,9,23,100,0,207
legendHorn,10,29,129,124,331
legendHorn,11,31,160,0,331
legendHorn,12,37,197,0,331
legendHorn,13,41,238,0,331
legendHorn,14,43,281,0,331
legendHorn,15,47,328,160,491
legendHorn,16,53,381,0,491
legendHorn,17,59,440,0,491
legendHorn,18,61,501,0,491
legendHorn,19,67,568,0,491
legendHorn,20,71,639,225,716
legendHorn,21,73,712,0,716
legendHorn,22,79,791,0,716
legendHorn,23,83,874,0,716
legendHorn,24,89,963,0,716
legendHorn,25,97,1060,328,1044
legendHorn,26,101,1161,0,1044
legendHorn,27,103,1264,0,1044
legendHorn,28,107,1371,0,1044
legendHorn,29,109,1480,0,1044
legendHorn,30,113,1593,480,1524
legendHorn,31,127,1720,0,1524
legendHorn,32,131,1851,0,1524
legendHorn,33,137,1988,0,1524
legendHorn,34,139,2127,0,1524
legendHorn,35,149,2276,689,2213
legendHorn,36,151,2427,0,2213
legendHorn,37,157,2584,0,2213
legendHorn,38,163,2747,0,2213
legendHorn,39,167,2914,0,2213
legendHorn,40,173,3087,966,3179
legendHorn,41,179,3266,0,3179
legendHorn,42,181,3447,0,3179
legendHorn,43,191,3638,0,3179
legendHorn,44,193,3831,0,3179
legendHorn,45,197,4028,1320,4499
legendHorn,46,199,4227,0,4499
legendHorn,47,211,4438,0,4499
legendHorn,48,223,4661,0,4499
legendHorn,49,227,4888,0,4499
legendHorn,50,229,5117,0,4499
goldenSealRing,0,0,0,100,100
goldenSealRing,1,1,1,0,100
goldenSealRing,2,2,3,0,100
goldenSealRing,3,3,6,0,100
goldenSealRing,4,5,11,0,100
goldenSealRing,5,6,17,104,204
goldenSealRing,6,8,25,0,204
goldenSealRing,7,9,34,0,204
goldenSealRing,8,11,45,0,204
goldenSealRing,9,12,57,0,204
goldenSealRing,10,14,71,108,312
goldenSealRing,11,15,86,0,312
goldenSealRing,12,17,103,0,312
goldenSealRing,13,18,121,0,312
goldenSealRing,14,20,141,0,312
goldenSealRing,15,22,163,112,424
goldenSealRing,16,23,186,0,424
goldenSealRing,17,25,211,0,424
goldenSealRing,18,27,238,0,424
goldenSealRing,19,28,266,0,424
goldenSealRing,20,30,296,117,541
goldenSealRing,21,32,328,0,541
goldenSealRing,22,33,361,0,541
goldenSealRing,23,35,396,0,541
goldenSealRing,24,37,433,0,541
goldenSealRing,25,39,472,122,663
goldenSealRing,26,40,512,0,663
goldenSealRing,27,42,554,0,663
goldenSealRing,28,44,598,0,663
goldenSealRing,29,46,644,0,663
goldenSealRing,30,47,691,127,790
goldenSealRing,31,49,740,0,790
goldenSealRing,32,51,791,0,790
goldenSealRing,33,53,844,0,790
goldenSealRing,34,54,898,0,790
goldenSealRing,35,56,954,133,923
goldenSealRing,36,58,1012,0,923
goldenSealRing,37,60,1072,0,923
goldenSealRing,38,62,1134,0,923
goldenSealRing,39,63,1197,0,923
goldenSealRing,40,65,1262,139,1062
goldenSealRing,41,67,1329,0,1062
goldenSealRing,42,69,1398,0,1062
goldenSealRing,43,71,1469,0,1062
goldenSealRing,44,73,1542,0,1062
goldenSealRing,45,74,1616,146,1208
goldenSealRing,46,76,1692,0,1208
goldenSealRing,47,78,1770,0,1208
goldenSealRing,48,80,1850,0,1208
goldenSealRing,49,82,1932,0,1208
goldenSealRing,50,84,2016,153,1361
goldenSealRing,51,86,2102,0,1361
goldenSealRing,52,87,2189,0,1361
goldenSealRing,53,89,2278,0,1361
goldenSealRing,54,91,2369,0,1361
goldenSealRing,55,93,2462,161,1522
goldenSealRing,56,95,2557,0,1522
goldenSealRing,57,97,2654,0,1522
goldenSealRing,58,99,2753,0,1522
goldenSealRing,59,100,2853,0,1522
goldenSealRing,60,102,2955,171,1693
goldenSealRing,61,104,3059,0,1693
goldenSealRing,62,106,3165,0,1693
goldenSealRing,63,108,3273,0,1693
goldenSealRing,64,110,3383,0,1693
goldenSealRing,65,112,3495,181,1874
goldenSealRing,66,114,3609,0,1874
goldenSealRing,67,116,3725,0,1874
goldenSealRing,68,118,3843,0,1874
goldenSealRing,69,119,3962,0,1874
goldenSealRing,70,121,4083,192,2066
goldenSealRing,71,123,4206,0,2066
goldenSealRing,72,125,4331,0,2066
goldenSealRing,73,127,4458,0,2066
goldenSealRing,74,129,4587,0,2066
goldenSealRing,75,131,4718,204,2270
goldenSealRing,76,133,4851,0,2270
goldenSealRing,77,135,4986,0,2270
goldenSealRing,78,137,5123,0,2270
goldenSealRing,79,139,5262,0,2270
goldenSealRing,80,141,5403,217,2487
goldenSealRing,81,143,5546,0,2487
goldenSealRing,82,144,5690,0,2487
goldenSealRing,83,146,5836,0,2487
goldenSealRing,84,148,5984,0,2487
goldenSealRing,85,150,6134,231,2718
goldenSealRing,86,152,6286,0,2718
goldenSealRing,87,154,6440,0,2718
goldenSealRing,88,156,6596,0,2718
goldenSealRing,89,158,6754,0,2718
goldenSealRing,90,160,6914,247,2965
goldenSealRing,91,162,7076,0,2965
goldenSealRing,92,164,7240,0,2965
goldenSealRing,93,166,7406,0,2965
goldenSealRing,94,168,7574,0,2965
goldenSealRing,95,170,7744,264,3229
goldenSealRing,96,172,7916,0,3229
goldenSealRing,97,174,8090,0,3229
goldenSealRing,98,176,8266,0,3229
goldenSealRing,99,178,8444,0,3229
goldenSealRing,100,180,8624,283,3512
goldenSealRing,101,182,8806,0,3512
goldenSealRing,102,184,8990,0,3512
goldenSealRing,103,186,9176,0,3512
goldenSealRing,104,188,9364,0,3512
goldenSealRing,105,190,9554,303,3815
goldenSealRing,106,192,9746,0,3815
goldenSealRing,107,194,9940,0,3815
goldenSealRing,108,196,10136,0,3815
goldenSealRing,109,198,10334,0,3815
goldenSealRing,110,199,10533,324,4139
goldenSealRing,111,201,10734,0,4139
goldenSealRing,112,203,10937,0,4139
goldenSealRing,113,205,11142,0,4139
goldenSealRing,114,207,11349,0,4139
goldenSealRing,115,209,11558,348,4487
goldenSealRing,116,211,11769,0,4487
goldenSealRing,117,213,11982,0,4487
goldenSealRing,118,215,12197,0,4487
goldenSealRing,119,217,12414,0,4487
goldenSealRing,120,219,12633,373,4860
goldenSealRing,121,221,12854,0,4860
goldenSealRing,122,223,13077,0,4860
goldenSealRing,123,225,13302,0,4860
goldenSealRing,124,228,13530,0,4860
goldenSealRing,125,230,13760,399,5259
goldenSealRing,126,232,13992,0,5259
goldenSealRing,127,234,14226,0,5259
goldenSealRing,128,236,14462,0,5259
goldenSealRing,129,238,14700,0,5259
goldenSealRing,130,240,14940,428,5687
goldenSealRing,131,242,15182,0,5687
goldenSealRing,132,244,15426,0,5687
goldenSealRing,133,246,15672,0,5687
goldenSealRing,134,248,15920,0,5687
goldenSealRing,135,250,16170,459,6146
goldenSealRing,136,252,16422,0,6146
goldenSealRing,137,254,16676,0,6146
goldenSealRing,138,256,16932,0,6146
goldenSealRing,139,258,17190,0,6146
goldenSealRing,140,260,17450,492,6638
goldenSealRing,141,262,17712,0,6638
goldenSealRing,142,264,17976,0,6638
goldenSealRing,143,266,18242,0,6638
goldenSealRing,144,268,18510,0,6638
goldenSealRing,145,270,18780,527,7165
goldenSealRing,146,272,19052,0,7165
goldenSealRing,147,274,19326,0,7165
goldenSealRing,148,276,19602,0,7165
goldenSealRing,149,278,19880,0,7165
goldenSealRing,150,280,20160,564,7729
goldenSealRing,151,282,20442,0,7729
goldenSealRing,152,284,20726,0,7729
goldenSealRing,153,286,21012,0,7729
goldenSealRing,154,288,21300,0,7729
goldenSealRing,155,290,21590,603,8332
goldenSealRing,156,293,21883,0,8332
goldenSealRing,157,295,22178,0,8332
goldenSealRing,158,297,22475,0,8332
goldenSealRing,159,299,22774,0,8332
goldenSealRing,160,301,23075,645,8977
goldenSealRing,161,303,23378,0,8977
goldenSealRing,162,305,23683,0,8977
goldenSealRing,163,307,23990,0,8977
goldenSealRing,164,309,24299,0,8977
goldenSealRing,165,311,24610,689,9666
goldenSealRing,166,313,24923,0,9666
goldenSealRing,167,315,25238,0,9666
goldenSealRing,168,317,25555,0,9666
goldenSealRing,169,319,25874,0,9666
goldenSealRing,170,321,26195,736,10402
goldenSealRing,171,323,26518,0,10402
goldenSealRing,172,325,26843,0,10402
goldenSealRing,173,328,27171,0,10402
goldenSealRing,174,330,27501,0,10402
goldenSealRing,175,332,27833,785,11187
goldenSealRing,176,334,28167,0,11187
goldenSealRing,177,336,28503,0,11187
goldenSealRing,178,338,28841,0,11187
goldenSealRing,179,340,29181,0,11187
goldenSealRing,180,342,29523,837,12024
goldenSealRing,181,344,29867,0,12024
goldenSealRing,182,346,30213,0,12024
goldenSealRing,183,348,30561,0,12024
goldenSealRing,184,350,30911,0,12024
goldenSealRing,185,352,31263,891,12915
goldenSealRing,186,355,31618,0,12915
goldenSealRing,187,357,31975,0,12915
goldenSealRing,188,359,32334,0,12915
goldenSealRing,189,361,32695,0,12915
goldenSealRing,190,363,33058,949,13864
goldenSealRing,191,365,33423,0,13864
goldenSealRing,192,367,33790,0,13864
goldenSealRing,193,369,34159,0,13864
goldenSealRing,194,371,34530,0,13864
goldenSealRing,195,373,34903,1009,14873
goldenSealRing,196,375,35278,0,14873
goldenSealRing,197,377,35655,0,14873
goldenSealRing,198,380,36035,0,14873
goldenSealRing,199,382,36417,0,14873
goldenSealRing,200,384,36801,1072,15945
goldenSealRing,201,386,37187,0,15945
goldenSealRing,202,388,37575,0,15945
goldenSealRing,203,390,37965,0,15945
goldenSealRing,204,392,38357,0,15945
goldenSealRing,205,394,38751,1138,17083
goldenSealRing,206,396,39147,0,17083
goldenSealRing,207,398,39545,0,17083
goldenSealRing,208,401,39946,0,17083
goldenSealRing,209,403,40349,0,17083
goldenSealRing,210,405,40754,1208,18291
goldenSealRing,211,407,41161,0,18291
goldenSealRing,212,409,41570,0,18291
goldenSealRing,213,411,41981,0,18291
goldenSealRing,214,413,42394,0,18291
goldenSealRing,215,415,42809,1280,19571
goldenSealRing,216,417,43226,0,19571
goldenSealRing,217,419,43645,0,19571
goldenSealRing,218,422,44067,0,19571
goldenSealRing,219,424,44491,0,19571
goldenSealRing,220,426,44917,1356,20927
goldenSealRing,221,428,45345,0,20927
goldenSealRing,222,430,45775,0,20927
goldenSealRing,223,432,46207,0,20927
goldenSealRing,224,434,46641,0,20927
goldenSealRing,225,436,47077,1435,22362
goldenSealRing,226,438,47515,0,22362
goldenSealRing,227,441,47956,0,22362
goldenSealRing,228,443,48399,0,22362
goldenSealRing,229,445,48844,0,22362
goldenSealRing,230,447,49291,1518,23880
goldenSealRing,231,449,49740,0,23880
goldenSealRing,232,451,50191,0,23880
goldenSealRing,233,453,50644,0,23880
goldenSealRing,234,455,51099,0,23880
goldenSealRing,235,458,51557,1604,25484
goldenSealRing,236,460,52017,0,25484
goldenSealRing,237,462,52479,0,25484
goldenSealRing,238,464,52943,0,25484
goldenSealRing,239,466,53409,0,25484
goldenSealRing,240,468,53877,1694,27178
goldenSealRing,241,470,54347,0,27178
goldenSealRing,242,472,54819,0,27178
goldenSealRing,243,475,55294,0,27178
goldenSealRing,244,477,55771,0,27178
goldenSealRing,245,479,56250,1787,28965
goldenSealRing,246,481,56731,0,28965
goldenSealRing,247,483,57214,0,28965
goldenSealRing,248,485,57699,0,28965
goldenSealRing,249,487,58186,0,28965
goldenSealRing,250,489,58675,1884,30849
goldenSealRing,251,492,59167,0,30849
goldenSealRing,252,494,59661,0,30849
goldenSealRing,253,496,60157,0,30849
goldenSealRing,254,498,60655,0,30849
goldenSealRing,255,500,61155,1985,32834
goldenSealRing,256,502,61657,0,32834
goldenSealRing,257,504,62161,0,32834
goldenSealRing,258,507,62668,0,32834
goldenSealRing,259,509,63177,0,32834
goldenSealRing,260,511,63688,2089,34923
goldenSealRing,261,513,64201,0,34923
goldenSealRing,262,515,64716,0,34923
goldenSealRing,263,517,65233,0,34923
goldenSealRing,264,519,65752,0,34923
goldenSealRing,265,522,66274,2198,37121
goldenSealRing,266,524,66798,0,37121
goldenSealRing,267,526,67324,0,37121
goldenSealRing,268,528,67852,0,37121
goldenSealRing,269,530,68382,0,37121
goldenSealRing,270,532,68914,2310,39431
goldenSealRing,271,534,69448,0,39431
goldenSealRing,272,537,69985,0,39431
goldenSealRing,273,539,70524,0,39431
goldenSealRing,274,541,71065,0,39431
goldenSealRing,275,543,71608,2427,41858
goldenSealRing,276,545,72153,0,41858
goldenSealRing,277,547,72700,0,41858
goldenSealRing,278,549,73249,0,41858
goldenSealRing,279,552,73801,0,41858
goldenSealRing,280,554,74355,2548,44406
goldenSealRing,281,556,74911,0,44406
goldenSealRing,282,558,75469,0,44406
goldenSealRing,283,560,76029,0,44406
goldenSealRing,284,562,76591,0,44406
goldenSealRing,285,565,77156,2673,47079
goldenSealRing,286,567,77723,0,47079
goldenSealRing,287,569,78292,0,47079
goldenSealRing,288,571,78863,0,47079
goldenSealRing,289,573,79436,0,47079
goldenSealRing,290,575,80011,2803,49882
goldenSealRing,291,577,80588,0,49882
goldenSealRing,292,580,81168,0,49882
goldenSealRing,293,582,81750,0,49882
goldenSealRing,294,584,82334,0,49882
goldenSealRing,295,586,82920,2936,52818
goldenSealRing,296,588,83508,0,52818
goldenSealRing,297,590,84098,0,52818
goldenSealRing,298,593,84691,0,52818
goldenSealRing,299,595,85286,0,52818
goldenSealRing,300,597,85883,0,52818
flameTalisman,0,0,0,100,100
flameTalisman,1,1,1,0,100
flameTalisman,2,2,3,0,100
flameTalisman,3,4,7,0,100
flameTalisman,4,6,13,0,100
flameTalisman,5,8,21,105,205
flameTalisman,6,10,31,0,205
flameTalisman,7,12,43,0,205
flameTalisman,8,14,57,0,205
flameTalisman,9,16,73,0,205
flameTalisman,10,18,91,111,316
flameTalisman,11,20,111,0,316
flameTalisman,12,22,133,0,316
flameTalisman,13,24,157,0,316
flameTalisman,14,27,184,0,316
flameTalisman,15,29,213,117,433
flameTalisman,16,31,244,0,433
flameTalisman,17,34,278,0,433
flameTalisman,18,36,314,0,433
flameTalisman,19,38,352,0,433
flameTalisman,20,41,393,122,555
flameTalisman,21,43,436,0,555
flameTalisman,22,45,481,0,555
flameTalisman,23,48,529,0,555
flameTalisman,24,50,579,0,555
flameTalisman,25,53,632,129,684
flameTalisman,26,55,687,0,684
flameTalisman,27,58,745,0,684
flameTalisman,28,60,805,0,684
flameTalisman,29,63,868,0,684
flameTalisman,30,65,933,135,819
flameTalisman,31,68,1001,0,819
flameTalisman,32,70,1071,0,819
flameTalisman,33,73,1144,0,819
flameTalisman,34,75,1219,0,819
flameTalisman,35,78,1297,142,961
flameTalisman,36,81,1378,0,961
flameTalisman,37,83,1461,0,961
flameTalisman,38,86,1547,0,961
flameTalisman,39,88,1635,0,961
flameTalisman,40,91,1726,149,1110
flameTalisman,41,94,1820,0,1110
flameTalisman,42,96,1916,0,1110
flameTalisman,43,99,2015,0,1110
flameTalisman,44,102,2117,0,1110
flameTalisman,45,104,2221,157,1267
flameTalisman,46,107,2328,0,1267
flameTalisman,47,110,2438,0,1267
flameTalisman,48,112,2550,0,1267
flameTalisman,49,115,2665,0,1267
flameTalisman,50,118,2783,165,1432
flameTalisman,51,121,2904,0,1432
flameTalisman,52,123,3027,0,1432
flameTalisman,53,126,3153,0,1432
flameTalisman,54,129,3282,0,1432
flameTalisman,55,131,3413,174,1606
flameTalisman,56,134,3547,0,1606
flameTalisman,57,137,3684,0,1606
flameTalisman,58,140,3824,0,1606
flameTalisman,59,142,3966,0,1606
flameTalisman,60,145,4111,183,1789
flameTalisman,61,148,4259,0,1789
flameTalisman,62,151,4410,0,1789
flameTalisman,63,154,4564,0,1789
flameTalisman,64,156,4720,0,1789
flameTalisman,65,159,4879,193,1982
flameTalisman,66,162,5041,0,1982
flameTalisman,67,165,5206,0,1982
flameTalisman,68,168,5374,0,1982
flameTalisman,69,170,5544,0,1982
flameTalisman,70,173,5717,204,2186
flameTalisman,71,176,5893,0,2186
flameTalisman,72,179,6072,0,2186
flameTalisman,73,182,6254,0,2186
flameTalisman,74,185,6439,0,2186
flameTalisman,75,187,6626,215,2401
flameTalisman,76,190,6816,0,2401
flameTalisman,77,193,7009,0,2401
flameTalisman,78,196,7205,0,2401
flameTalisman,79,199,7404,0,2401
flameTalisman,80,202,7606,227,2628
flameTalisman,81,205,7811,0,2628
flameTalisman,82,207,8018,0,2628
flameTalisman,83,210,8228,0,2628
flameTalisman,84,213,8441,0,2628
flameTalisman,85,216,8657,241,2869
flameTalisman,86,219,8876,0,2869
flameTalisman,87,222,9098,0,2869
flameTalisman,88,225,9323,0,2869
flameTalisman,89,228,9551,0,2869
flameTalisman,90,231,9782,255,3124
flameTalisman,91,233,10015,0,3124
flameTalisman,92,236,10251,0,3124
flameTalisman,93,239,10490,0,3124
flameTalisman,94,242,10732,0,3124
flameTalisman,95,245,10977,270,3394
flameTalisman,96,248,11225,0,3394
flameTalisman,97,251,11476,0,3394
flameTalisman,98,254,11730,0,3394
flameTalisman,99,257,11987,0,3394
flameTalisman,100,260,12247,286,3680
flameTalisman,101,263,12510,0,3680
flameTalisman,102,266,12776,0,3680
flameTalisman,103,269,13045,0,3680
flameTalisman,104,272,13317,0,3680
flameTalisman,105,275,13592,304,3984
flameTalisman,106,278,13870,0,3984
flameTalisman,107,281,14151,0,3984
flameTalisman,108,284,14435,0,3984
flameTalisman,109,287,14722,0,3984
flameTalisman,110,289,15011,322,4306
flameTalisman,111,292,15303,0,4306
flameTalisman,112,295,15598,0,4306
flameTalisman,113,298,15896,0,4306
flameTalisman,114,301,16197,0,4306
flameTalisman,115,304,16501,342,4648
