황금 인장 반지,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,87,환생 포인트 획득량 87% 증가,154,"6,440",-,"2,718"
,88,환생 포인트 획득량 88% 증가,156,"6,596",-,"2,718"
,89,환생 포인트 획득량 89% 증가,158,"6,754",-,"2,718"
,90,환생 포인트 획득량 90% 증가,160,"6,914",💎 247,"2,965"
,91,환생 포인트 획득량 91% 증가,162,"7,076",-,"2,965"
,92,환생 포인트 획득량 92% 증가,164,"7,240",-,"2,965"
,93,환생 포인트 획득량 93% 증가,166,"7,406",-,"2,965"
,94,환생 포인트 획득량 94% 증가,168,"7,574",-,"2,965"
,95,환생 포인트 획득량 95% 증가,170,"7,744",💎 264,"3,229"
,96,환생 포인트 획득량 96% 증가,172,"7,916",-,"3,229"
,97,환생 포인트 획득량 97% 증가,174,"8,090",-,"3,229"
,98,환생 포인트 획득량 98% 증가,176,"8,266",-,"3,229"
,99,환생 포인트 획득량 99% 증가,178,"8,444",-,"3,229"
,100,환생 포인트 획득량 100% 증가,180,"8,624",💎 283,"3,512"
,101,환생 포인트 획득량 101% 증가,182,"8,806",-,"3,512"
,102,환생 포인트 획득량 102% 증가,184,"8,990",-,"3,512"
,103,환생 포인트 획득량 103% 증가,186,"9,176",-,"3,512"
,104,환생 포인트 획득량 104% 증가,188,"9,364",-,"3,512"
,105,환생 포인트 획득량 105% 증가,190,"9,554",💎 303,"3,815"
,106,환생 포인트 획득량 106% 증가,192,"9,746",-,"3,815"
,107,환생 포인트 획득량 107% 증가,194,"9,940",-,"3,815"
,108,환생 포인트 획득량 108% 증가,196,"10,136",-,"3,815"
,109,환생 포인트 획득량 109% 증가,198,"10,334",-,"3,815"
,110,환생 포인트 획득량 110% 증가,199,"10,533",💎 324,"4,139"
,111,환생 포인트 획득량 111% 증가,201,"10,734",-,"4,139"
,112,환생 포인트 획득량 112% 증가,203,"10,937",-,"4,139"
,113,환생 포인트 획득량 113% 증가,205,"11,142",-,"4,139"
,114,환생 포인트 획득량 114% 증가,207,"11,349",-,"4,139"
,115,환생 포인트 획득량 115% 증가,209,"11,558",💎 348,"4,487"
,116,환생 포인트 획득량 116% 증가,211,"11,769",-,"4,487"
,117,환생 포인트 획득량 117% 증가,213,"11,982",-,"4,487"
,118,환생 포인트 획득량 118% 증가,215,"12,197",-,"4,487"
,119,환생 포인트 획득량 119% 증가,217,"12,414",-,"4,487"
,120,환생 포인트 획득량 120% 증가,219,"12,633",💎 373,"4,860"
,121,환생 포인트 획득량 121% 증가,221,"12,854",-,"4,860"
,122,환생 포인트 획득량 122% 증가,223,"13,077",-,"4,860"
,123,환생 포인트 획득량 123% 증가,225,"13,302",-,"4,860"
,124,환생 포인트 획득량 124% 증가,228,"13,530",-,"4,860"
,125,환생 포인트 획득량 125% 증가,230,"13,760",💎 399,"5,259"
,126,환생 포인트 획득량 126% 증가,232,"13,992",-,"5,259"
,127,환생 포인트 획득량 127% 증가,234,"14,226",-,"5,259"
,128,환생 포인트 획득량 128% 증가,236,"14,462",-,"5,259"
,129,환생 포인트 획득량 129% 증가,238,"14,700",-,"5,259"
,130,환생 포인트 획득량 130% 증가,240,"14,940",💎 428,"5,687"
,131,환생 포인트 획득량 131% 증가,242,"15,182",-,"5,687"
,132,환생 포인트 획득량 132% 증가,244,"15,426",-,"5,687"
,133,환생 포인트 획득량 133% 증가,246,"15,672",-,"5,687"
,134,환생 포인트 획득량 134% 증가,248,"15,920",-,"5,687"
,135,환생 포인트 획득량 135% 증가,250,"16,170",💎 459,"6,146"
,136,환생 포인트 획득량 136% 증가,252,"16,422",-,"6,146"
,137,환생 포인트 획득량 137% 증가,254,"16,676",-,"6,146"
,138,환생 포인트 획득량 138% 증가,256,"16,932",-,"6,146"
,139,환생 포인트 획득량 139% 증가,258,"17,190",-,"6,146"
,140,환생 포인트 획득량 140% 증가,260,"17,450",💎 492,"6,638"
,141,환생 포인트 획득량 141% 증가,262,"17,712",-,"6,638"
,142,환생 포인트 획득량 142% 증가,264,"17,976",-,"6,638"
,143,환생 포인트 획득량 143% 증가,266,"18,242",-,"6,638"
,144,환생 포인트 획득량 144% 증가,268,"18,510",-,"6,638"
,145,환생 포인트 획득량 145% 증가,270,"18,780",💎 527,"7,165"
,146,환생 포인트 획득량 146% 증가,272,"19,052",-,"7,165"
,147,환생 포인트 획득량 147% 증가,274,"19,326",-,"7,165"
,148,환생 포인트 획득량 148% 증가,276,"19,602",-,"7,165"
,149,환생 포인트 획득량 149% 증가,278,"19,880",-,"7,165"
,150,환생 포인트 획득량 150% 증가,280,"20,160",💎 564,"7,729"
,151,환생 포인트 획득량 151% 증가,282,"20,442",-,"7,729"
,152,환생 포인트 획득량 152% 증가,284,"20,726",-,"7,729"
,153,환생 포인트 획득량 153% 증가,286,"21,012",-,"7,729"
,154,환생 포인트 획득량 154% 증가,288,"21,300",-,"7,729"
,155,환생 포인트 획득량 155% 증가,290,"21,590",💎 603,"8,332"
,156,환생 포인트 획득량 156% 증가,293,"21,883",-,"8,332"
,157,환생 포인트 획득량 157% 증가,295,"22,178",-,"8,332"
,158,환생 포인트 획득량 158% 증가,297,"22,475",-,"8,332"
,159,환생 포인트 획득량 159% 증가,299,"22,774",-,"8,332"
,160,환생 포인트 획득량 160% 증가,301,"23,075",💎 645,"8,977"
,161,환생 포인트 획득량 161% 증가,303,"23,378",-,"8,977"
,162,환생 포인트 획득량 162% 증가,305,"23,683",-,"8,977"
,163,환생 포인트 획득량 163% 증가,307,"23,990",-,"8,977"
,164,환생 포인트 획득량 164% 증가,309,"24,299",-,"8,977"
,165,환생 포인트 획득량 165% 증가,311,"24,610",💎 689,"9,666"
,166,환생 포인트 획득량 166% 증가,313,"24,923",-,"9,666"
,167,환생 포인트 획득량 167% 증가,315,"25,238",-,"9,666"
,168,환생 포인트 획득량 168% 증가,317,"25,555",-,"9,666"
,169,환생 포인트 획득량 169% 증가,319,"25,874",-,"9,666"
,170,환생 포인트 획득량 170% 증가,321,"26,195",💎 736,"10,402"
,171,환생 포인트 획득량 171% 증가,323,"26,518",-,"10,402"
,172,환생 포인트 획득량 172% 증가,325,"26,843",-,"10,402"
,173,환생 포인트 획득량 173% 증가,328,"27,171",-,"10,402"
,174,환생 포인트 획득량 174% 증가,330,"27,501",-,"10,402"
,175,환생 포인트 획득량 175% 증가,332,"27,833",💎 785,"11,187"
,176,환생 포인트 획득량 176% 증가,334,"28,167",-,"11,187"
,177,환생 포인트 획득량 177% 증가,336,"28,503",-,"11,187"
,178,환생 포인트 획득량 178% 증가,338,"28,841",-,"11,187"
,179,환생 포인트 획득량 179% 증가,340,"29,181",-,"11,187"
,180,환생 포인트 획득량 180% 증가,342,"29,523",💎 837,"12,024"
,181,환생 포인트 획득량 181% 증가,344,"29,867",-,"12,024"
,182,환생 포인트 획득량 182% 증가,346,"30,213",-,"12,024"
,183,환생 포인트 획득량 183% 증가,348,"30,561",-,"12,024"
,184,환생 포인트 획득량 184% 증가,350,"30,911",-,"12,024"
,185,환생 포인트 획득량 185% 증가,352,"31,263",💎 891,"12,915"
,186,환생 포인트 획득량 186% 증가,355,"31,618",-,"12,915"
,187,환생 포인트 획득량 187% 증가,357,"31,975",-,"12,915"
,188,환생 포인트 획득량 188% 증가,359,"32,334",-,"12,915"
,189,환생 포인트 획득량 189% 증가,361,"32,695",-,"12,915"
,190,환생 포인트 획득량 190% 증가,363,"33,058",💎 949,"13,864"
,191,환생 포인트 획득량 191% 증가,365,"33,423",-,"13,864"
,192,환생 포인트 획득량 192% 증가,367,"33,790",-,"13,864"
,193,환생 포인트 획득량 193% 증가,369,"34,159",-,"13,864"
,194,환생 포인트 획득량 194% 증가,371,"34,530",-,"13,864"
,195,환생 포인트 획득량 195% 증가,373,"34,903","💎 1,009","14,873"
,196,환생 포인트 획득량 196% 증가,375,"35,278",-,"14,873"
,197,환생 포인트 획득량 197% 증가,377,"35,655",-,"14,873"
,198,환생 포인트 획득량 198% 증가,380,"36,035",-,"14,873"
,199,환생 포인트 획득량 199% 증가,382,"36,417",-,"14,873"
,200,환생 포인트 획득량 200% 증가,384,"36,801","💎 1,072","15,945"
,201,환생 포인트 획득량 201% 증가,386,"37,187",-,"15,945"
,202,환생 포인트 획득량 202% 증가,388,"37,575",-,"15,945"
,203,환생 포인트 획득량 203% 증가,390,"37,965",-,"15,945"
,204,환생 포인트 획득량 204% 증가,392,"38,357",-,"15,945"
,205,환생 포인트 획득량 205% 증가,394,"38,751","💎 1,138","17,083"
,206,환생 포인트 획득량 206% 증가,396,"39,147",-,"17,083"
,207,환생 포인트 획득량 207% 증가,398,"39,545",-,"17,083"
,208,환생 포인트 획득량 208% 증가,401,"39,946",-,"17,083"
,209,환생 포인트 획득량 209% 증가,403,"40,349",-,"17,083"
,210,환생 포인트 획득량 210% 증가,405,"40,754","💎 1,208","18,291"
,211,환생 포인트 획득량 211% 증가,407,"41,161",-,"18,291"
,212,환생 포인트 획득량 212% 증가,409,"41,570",-,"18,291"
,213,환생 포인트 획득량 213% 증가,411,"41,981",-,"18,291"
,214,환생 포인트 획득량 214% 증가,413,"42,394",-,"18,291"
,215,환생 포인트 획득량 215% 증가,415,"42,809","💎 1,280","19,571"
,216,환생 포인트 획득량 216% 증가,417,"43,226",-,"19,571"
,217,환생 포인트 획득량 217% 증가,419,"43,645",-,"19,571"
,218,환생 포인트 획득량 218% 증가,422,"44,067",-,"19,571"
,219,환생 포인트 획득량 219% 증가,424,"44,491",-,"19,571"
,220,환생 포인트 획득량 220% 증가,426,"44,917","💎 1,356","20,927"
,221,환생 포인트 획득량 221% 증가,428,"45,345",-,"20,927"
,222,환생 포인트 획득량 222% 증가,430,"45,775",-,"20,927"
,223,환생 포인트 획득량 223% 증가,432,"46,207",-,"20,927"
,224,환생 포인트 획득량 224% 증가,434,"46,641",-,"20,927"
,225,환생 포인트 획득량 225% 증가,436,"47,077","💎 1,435","22,362"
,226,환생 포인트 획득량 226% 증가,438,"47,515",-,"22,362"
,227,환생 포인트 획득량 227% 증가,441,"47,956",-,"22,362"
,228,환생 포인트 획득량 228% 증가,443,"48,399",-,"22,362"
,229,환생 포인트 획득량 229% 증가,445,"48,844",-,"22,362"
,230,환생 포인트 획득량 230% 증가,447,"49,291","💎 1,518","23,880"
,231,환생 포인트 획득량 231% 증가,449,"49,740",-,"23,880"
,232,환생 포인트 획득량 232% 증가,451,"50,191",-,"23,880"
,233,환생 포인트 획득량 233% 증가,453,"50,644",-,"23,880"
,234,환생 포인트 획득량 234% 증가,455,"51,099",-,"23,880"
,235,환생 포인트 획득량 235% 증가,458,"51,557","💎 1,604","25,484"
,236,환생 포인트 획득량 236% 증가,460,"52,017",-,"25,484"
,237,환생 포인트 획득량 237% 증가,462,"52,479",-,"25,484"
,238,환생 포인트 획득량 238% 증가,464,"52,943",-,"25,484"
,239,환생 포인트 획득량 239% 증가,466,"53,409",-,"25,484"
,240,환생 포인트 획득량 240% 증가,468,"53,877","💎 1,694","27,178"
,241,환생 포인트 획득량 241% 증가,470,"54,347",-,"27,178"
,242,환생 포인트 획득량 242% 증가,472,"54,819",-,"27,178"
,243,환생 포인트 획득량 243% 증가,475,"55,294",-,"27,178"
,244,환생 포인트 획득량 244% 증가,477,"55,771",-,"27,178"
,245,환생 포인트 획득량 245% 증가,479,"56,250","💎 1,787","28,965"
,246,환생 포인트 획득량 246% 증가,481,"56,731",-,"28,965"
,247,환생 포인트 획득량 247% 증가,483,"57,214",-,"28,965"
,248,환생 포인트 획득량 248% 증가,485,"57,699",-,"28,965"
,249,환생 포인트 획득량 249% 증가,487,"58,186",-,"28,965"
,250,환생 포인트 획득량 250% 증가,489,"58,675","💎 1,884","30,849"
,251,환생 포인트 획득량 251% 증가,492,"59,167",-,"30,849"
,252,환생 포인트 획득량 252% 증가,494,"59,661",-,"30,849"
,253,환생 포인트 획득량 253% 증가,496,"60,157",-,"30,849"
,254,환생 포인트 획득량 254% 증가,498,"60,655",-,"30,849"
,255,환생 포인트 획득량 255% 증가,500,"61,155","💎 1,985","32,834"
,256,환생 포인트 획득량 256% 증가,502,"61,657",-,"32,834"
,257,환생 포인트 획득량 257% 증가,504,"62,161",-,"32,834"
,258,환생 포인트 획득량 258% 증가,507,"62,668",-,"32,834"
,259,환생 포인트 획득량 259% 증가,509,"63,177",-,"32,834"
,260,환생 포인트 획득량 260% 증가,511,"63,688","💎 2,089","34,923"
,261,환생 포인트 획득량 261% 증가,513,"64,201",-,"34,923"
,262,환생 포인트 획득량 262% 증가,515,"64,716",-,"34,923"
,263,환생 포인트 획득량 263% 증가,517,"65,233",-,"34,923"
,264,환생 포인트 획득량 264% 증가,519,"65,752",-,"34,923"
,265,환생 포인트 획득량 265% 증가,522,"66,274","💎 2,198","37,121"
,266,환생 포인트 획득량 266% 증가,524,"66,798",-,"37,121"
,267,환생 포인트 획득량 267% 증가,526,"67,324",-,"37,121"
,268,환생 포인트 획득량 268% 증가,528,"67,852",-,"37,121"
,269,환생 포인트 획득량 269% 증가,530,"68,382",-,"37,121"
,270,환생 포인트 획득량 270% 증가,532,"68,914","💎 2,310","39,431"
,271,환생 포인트 획득량 271% 증가,534,"69,448",-,"39,431"
,272,환생 포인트 획득량 272% 증가,537,"69,985",-,"39,431"
,273,환생 포인트 획득량 273% 증가,539,"70,524",-,"39,431"
,274,환생 포인트 획득량 274% 증가,541,"71,065",-,"39,431"
,275,환생 포인트 획득량 275% 증가,543,"71,608","💎 2,427","41,858"
,276,환생 포인트 획득량 276% 증가,545,"72,153",-,"41,858"
,277,환생 포인트 획득량 277% 증가,547,"72,700",-,"41,858"
,278,환생 포인트 획득량 278% 증가,549,"73,249",-,"41,858"
,279,환생 포인트 획득량 279% 증가,552,"73,801",-,"41,858"
,280,환생 포인트 획득량 280% 증가,554,"74,355","💎 2,548","44,406"
,281,환생 포인트 획득량 281% 증가,556,"74,911",-,"44,406"
,282,환생 포인트 획득량 282% 증가,558,"75,469",-,"44,406"
,283,환생 포인트 획득량 283% 증가,560,"76,029",-,"44,406"
,284,환생 포인트 획득량 284% 증가,562,"76,591",-,"44,406"
,285,환생 포인트 획득량 285% 증가,565,"77,156","💎 2,673","47,079"
,286,환생 포인트 획득량 286% 증가,567,"77,723",-,"47,079"
,287,환생 포인트 획득량 287% 증가,569,"78,292",-,"47,079"
,288,환생 포인트 획득량 288% 증가,571,"78,863",-,"47,079"
,289,환생 포인트 획득량 289% 증가,573,"79,436",-,"47,079"
,290,환생 포인트 획득량 290% 증가,575,"80,011","💎 2,803","49,882"
,291,환생 포인트 획득량 291% 증가,577,"80,588",-,"49,882"
,292,환생 포인트 획득량 292% 증가,580,"81,168",-,"49,882"
,293,환생 포인트 획득량 293% 증가,582,"81,750",-,"49,882"
,294,환생 포인트 획득량 294% 증가,584,"82,334",-,"49,882"
,295,환생 포인트 획득량 295% 증가,586,"82,920","💎 2,936","52,818"
,296,환생 포인트 획득량 296% 증가,588,"83,508",-,"52,818"
,297,환생 포인트 획득량 297% 증가,590,"84,098",-,"52,818"
,298,환생 포인트 획득량 298% 증가,593,"84,691",-,"52,818"
,299,환생 포인트 획득량 299% 증가,595,"85,286",-,"52,818"
,300,환생 포인트 획득량 300% 증가,597,"85,883",-,"52,818"
