시간의 모래시계,레벨,효과,다음 레벨 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,21,레벨업 필요 EXP 210% 증가 환생 시 RP 획득량 210% 증가 (시간 대비 RP 효율 동일),81,795,,546
,22,레벨업 필요 EXP 220% 증가 환생 시 RP 획득량 220% 증가 (시간 대비 RP 효율 동일),87,882,,546
,23,레벨업 필요 EXP 230% 증가 환생 시 RP 획득량 230% 증가 (시간 대비 RP 효율 동일),92,974,,546
,24,레벨업 필요 EXP 240% 증가 환생 시 RP 획득량 240% 증가 (시간 대비 RP 효율 동일),98,"1,072",,546
,25,레벨업 필요 EXP 250% 증가 환생 시 RP 획득량 250% 증가 (시간 대비 RP 효율 동일),107,"1,179",💎 137,683
,26,레벨업 필요 EXP 260% 증가 환생 시 RP 획득량 260% 증가 (시간 대비 RP 효율 동일),112,"1,291",,683
,27,레벨업 필요 EXP 270% 증가 환생 시 RP 획득량 270% 증가 (시간 대비 RP 효율 동일),114,"1,405",,683
,28,레벨업 필요 EXP 280% 증가 환생 시 RP 획득량 280% 증가 (시간 대비 RP 효율 동일),118,"1,523",,683
,29,레벨업 필요 EXP 290% 증가 환생 시 RP 획득량 290% 증가 (시간 대비 RP 효율 동일),120,"1,643",,683
,30,레벨업 필요 EXP 300% 증가 환생 시 RP 획득량 300% 증가 (시간 대비 RP 효율 동일),125,"1,768",💎 156,839
,31,레벨업 필요 EXP 310% 증가 환생 시 RP 획득량 310% 증가 (시간 대비 RP 효율 동일),140,"1,908",,839
,32,레벨업 필요 EXP 320% 증가 환생 시 RP 획득량 320% 증가 (시간 대비 RP 효율 동일),145,"2,053",,839
,33,레벨업 필요 EXP 330% 증가 환생 시 RP 획득량 330% 증가 (시간 대비 RP 효율 동일),151,"2,204",,839
,34,레벨업 필요 EXP 340% 증가 환생 시 RP 획득량 340% 증가 (시간 대비 RP 효율 동일),153,"2,357",,839
,35,레벨업 필요 EXP 350% 증가 환생 시 RP 획득량 350% 증가 (시간 대비 RP 효율 동일),164,"2,521",💎 182,"1,021"
,36,레벨업 필요 EXP 360% 증가 환생 시 RP 획득량 360% 증가 (시간 대비 RP 효율 동일),167,"2,688",,"1,021"
,37,레벨업 필요 EXP 370% 증가 환생 시 RP 획득량 370% 증가 (시간 대비 RP 효율 동일),173,"2,861",,"1,021"
,38,레벨업 필요 EXP 380% 증가 환생 시 RP 획득량 380% 증가 (시간 대비 RP 효율 동일),180,"3,041",,"1,021"
,39,레벨업 필요 EXP 390% 증가 환생 시 RP 획득량 390% 증가 (시간 대비 RP 효율 동일),184,"3,225",,"1,021"
,40,레벨업 필요 EXP 400% 증가 환생 시 RP 획득량 400% 증가 (시간 대비 RP 효율 동일),191,"3,416",💎 215,"1,236"
,41,레벨업 필요 EXP 410% 증가 환생 시 RP 획득량 410% 증가 (시간 대비 RP 효율 동일),197,"3,613",,"1,236"
,42,레벨업 필요 EXP 420% 증가 환생 시 RP 획득량 420% 증가 (시간 대비 RP 효율 동일),200,"3,813",,"1,236"
,43,레벨업 필요 EXP 430% 증가 환생 시 RP 획득량 430% 증가 (시간 대비 RP 효율 동일),211,"4,024",,"1,236"
,44,레벨업 필요 EXP 440% 증가 환생 시 RP 획득량 440% 증가 (시간 대비 RP 효율 동일),213,"4,237",,"1,236"
,45,레벨업 필요 EXP 450% 증가 환생 시 RP 획득량 450% 증가 (시간 대비 RP 효율 동일),217,"4,454",💎 257,"1,493"
,46,레벨업 필요 EXP 460% 증가 환생 시 RP 획득량 460% 증가 (시간 대비 RP 효율 동일),219,"4,673",,"1,493"
,47,레벨업 필요 EXP 470% 증가 환생 시 RP 획득량 470% 증가 (시간 대비 RP 효율 동일),233,"4,906",,"1,493"
,48,레벨업 필요 EXP 480% 증가 환생 시 RP 획득량 480% 증가 (시간 대비 RP 효율 동일),246,"5,152",,"1,493"
,49,레벨업 필요 EXP 490% 증가 환생 시 RP 획득량 490% 증가 (시간 대비 RP 효율 동일),250,"5,402",,"1,493"
,50,레벨업 필요 EXP 500% 증가 환생 시 RP 획득량 500% 증가 (시간 대비 RP 효율 동일),252,"5,654",,"1,493"
