아누비스의 가면,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,121,최종 DEX 121% 증가,322,"18,388",-,"5,011"
,122,최종 DEX 122% 증가,325,"18,713",-,"5,011"
,123,최종 DEX 123% 증가,328,"19,041",-,"5,011"
,124,최종 DEX 124% 증가,332,"19,373",-,"5,011"
,125,최종 DEX 125% 증가,335,"19,708",💎 386,"5,397"
,126,최종 DEX 126% 증가,338,"20,046",-,"5,397"
,127,최종 DEX 127% 증가,341,"20,387",-,"5,397"
,128,최종 DEX 128% 증가,344,"20,731",-,"5,397"
,129,최종 DEX 129% 증가,347,"21,078",-,"5,397"
,130,최종 DEX 130% 증가,350,"21,428",💎 409,"5,806"
,131,최종 DEX 131% 증가,353,"21,781",-,"5,806"
,132,최종 DEX 132% 증가,356,"22,137",-,"5,806"
,133,최종 DEX 133% 증가,359,"22,496",-,"5,806"
,134,최종 DEX 134% 증가,362,"22,858",-,"5,806"
,135,최종 DEX 135% 증가,365,"23,223",💎 435,"6,241"
,136,최종 DEX 136% 증가,368,"23,591",-,"6,241"
,137,최종 DEX 137% 증가,371,"23,962",-,"6,241"
,138,최종 DEX 138% 증가,374,"24,336",-,"6,241"
,139,최종 DEX 139% 증가,377,"24,713",-,"6,241"
,140,최종 DEX 140% 증가,380,"25,093",💎 462,"6,703"
,141,최종 DEX 141% 증가,383,"25,476",-,"6,703"
,142,최종 DEX 142% 증가,386,"25,862",-,"6,703"
,143,최종 DEX 143% 증가,389,"26,251",-,"6,703"
,144,최종 DEX 144% 증가,392,"26,643",-,"6,703"
,145,최종 DEX 145% 증가,396,"27,039",💎 490,"7,193"
,146,최종 DEX 146% 증가,399,"27,438",-,"7,193"
,147,최종 DEX 147% 증가,402,"27,840",-,"7,193"
,148,최종 DEX 148% 증가,405,"28,245",-,"7,193"
,149,최종 DEX 149% 증가,408,"28,653",-,"7,193"
,150,최종 DEX 150% 증가,411,"29,064",💎 520,"7,713"
,151,최종 DEX 151% 증가,414,"29,478",-,"7,713"
,152,최종 DEX 152% 증가,417,"29,895",-,"7,713"
,153,최종 DEX 153% 증가,420,"30,315",-,"7,713"
,154,최종 DEX 154% 증가,423,"30,738",-,"7,713"
,155,최종 DEX 155% 증가,426,"31,164",💎 552,"8,265"
,156,최종 DEX 156% 증가,430,"31,594",-,"8,265"
,157,최종 DEX 157% 증가,433,"32,027",-,"8,265"
,158,최종 DEX 158% 증가,436,"32,463",-,"8,265"
,159,최종 DEX 159% 증가,439,"32,902",-,"8,265"
,160,최종 DEX 160% 증가,442,"33,344",💎 585,"8,850"
,161,최종 DEX 161% 증가,445,"33,789",-,"8,850"
,162,최종 DEX 162% 증가,448,"34,237",-,"8,850"
,163,최종 DEX 163% 증가,451,"34,688",-,"8,850"
,164,최종 DEX 164% 증가,454,"35,142",-,"8,850"
,165,최종 DEX 165% 증가,458,"35,600",💎 620,"9,470"
,166,최종 DEX 166% 증가,461,"36,061",-,"9,470"
,167,최종 DEX 167% 증가,464,"36,525",-,"9,470"
,168,최종 DEX 168% 증가,467,"36,992",-,"9,470"
,169,최종 DEX 169% 증가,470,"37,462",-,"9,470"
,170,최종 DEX 170% 증가,473,"37,935",💎 658,"10,128"
,171,최종 DEX 171% 증가,476,"38,411",-,"10,128"
,172,최종 DEX 172% 증가,479,"38,890",-,"10,128"
,173,최종 DEX 173% 증가,483,"39,373",-,"10,128"
,174,최종 DEX 174% 증가,486,"39,859",-,"10,128"
,175,최종 DEX 175% 증가,489,"40,348",💎 697,"10,825"
,176,최종 DEX 176% 증가,492,"40,840",-,"10,825"
,177,최종 DEX 177% 증가,495,"41,335",-,"10,825"
,178,최종 DEX 178% 증가,498,"41,833",-,"10,825"
,179,최종 DEX 179% 증가,501,"42,334",-,"10,825"
,180,최종 DEX 180% 증가,505,"42,839",💎 737,"11,562"
,181,최종 DEX 181% 증가,508,"43,347",-,"11,562"
,182,최종 DEX 182% 증가,511,"43,858",-,"11,562"
,183,최종 DEX 183% 증가,514,"44,372",-,"11,562"
,184,최종 DEX 184% 증가,517,"44,889",-,"11,562"
,185,최종 DEX 185% 증가,520,"45,409",💎 780,"12,342"
,186,최종 DEX 186% 증가,524,"45,933",-,"12,342"
,187,최종 DEX 187% 증가,527,"46,460",-,"12,342"
,188,최종 DEX 188% 증가,530,"46,990",-,"12,342"
,189,최종 DEX 189% 증가,533,"47,523",-,"12,342"
,190,최종 DEX 190% 증가,536,"48,059",💎 826,"13,168"
,191,최종 DEX 191% 증가,539,"48,598",-,"13,168"
,192,최종 DEX 192% 증가,543,"49,141",-,"13,168"
,193,최종 DEX 193% 증가,546,"49,687",-,"13,168"
,194,최종 DEX 194% 증가,549,"50,236",-,"13,168"
,195,최종 DEX 195% 증가,552,"50,788",💎 873,"14,041"
,196,최종 DEX 196% 증가,555,"51,343",-,"14,041"
,197,최종 DEX 197% 증가,558,"51,901",-,"14,041"
,198,최종 DEX 198% 증가,562,"52,463",-,"14,041"
,199,최종 DEX 199% 증가,565,"53,028",-,"14,041"
,200,최종 DEX 200% 증가,568,"53,596",💎 922,"14,963"
,201,최종 DEX 201% 증가,571,"54,167",-,"14,963"
,202,최종 DEX 202% 증가,574,"54,741",-,"14,963"
,203,최종 DEX 203% 증가,578,"55,319",-,"14,963"
,204,최종 DEX 204% 증가,581,"55,900",-,"14,963"
,205,최종 DEX 205% 증가,584,"56,484",💎 974,"15,937"
,206,최종 DEX 206% 증가,587,"57,071",-,"15,937"
,207,최종 DEX 207% 증가,590,"57,661",-,"15,937"
,208,최종 DEX 208% 증가,594,"58,255",-,"15,937"
,209,최종 DEX 209% 증가,597,"58,852",-,"15,937"
,210,최종 DEX 210% 증가,600,"59,452","💎 1,028","16,965"
,211,최종 DEX 211% 증가,603,"60,055",-,"16,965"
,212,최종 DEX 212% 증가,606,"60,661",-,"16,965"
,213,최종 DEX 213% 증가,610,"61,271",-,"16,965"
,214,최종 DEX 214% 증가,613,"61,884",-,"16,965"
,215,최종 DEX 215% 증가,616,"62,500","💎 1,084","18,049"
,216,최종 DEX 216% 증가,619,"63,119",-,"18,049"
,217,최종 DEX 217% 증가,622,"63,741",-,"18,049"
,218,최종 DEX 218% 증가,626,"64,367",-,"18,049"
,219,최종 DEX 219% 증가,629,"64,996",-,"18,049"
,220,최종 DEX 220% 증가,632,"65,628","💎 1,143","19,192"
,221,최종 DEX 221% 증가,635,"66,263",-,"19,192"
,222,최종 DEX 222% 증가,639,"66,902",-,"19,192"
,223,최종 DEX 223% 증가,642,"67,544",-,"19,192"
,224,최종 DEX 224% 증가,645,"68,189",-,"19,192"
,225,최종 DEX 225% 증가,648,"68,837","💎 1,204","20,396"
,226,최종 DEX 226% 증가,651,"69,488",-,"20,396"
,227,최종 DEX 227% 증가,655,"70,143",-,"20,396"
,228,최종 DEX 228% 증가,658,"70,801",-,"20,396"
,229,최종 DEX 229% 증가,661,"71,462",-,"20,396"
,230,최종 DEX 230% 증가,664,"72,126","💎 1,268","21,664"
,231,최종 DEX 231% 증가,668,"72,794",-,"21,664"
,232,최종 DEX 232% 증가,671,"73,465",-,"21,664"
,233,최종 DEX 233% 증가,674,"74,139",-,"21,664"
,234,최종 DEX 234% 증가,677,"74,816",-,"21,664"
,235,최종 DEX 235% 증가,681,"75,497","💎 1,334","22,998"
,236,최종 DEX 236% 증가,684,"76,181",-,"22,998"
,237,최종 DEX 237% 증가,687,"76,868",-,"22,998"
,238,최종 DEX 238% 증가,690,"77,558",-,"22,998"
,239,최종 DEX 239% 증가,694,"78,252",-,"22,998"
,240,최종 DEX 240% 증가,697,"78,949","💎 1,403","24,401"
,241,최종 DEX 241% 증가,700,"79,649",-,"24,401"
,242,최종 DEX 242% 증가,703,"80,352",-,"24,401"
,243,최종 DEX 243% 증가,707,"81,059",-,"24,401"
,244,최종 DEX 244% 증가,710,"81,769",-,"24,401"
,245,최종 DEX 245% 증가,713,"82,482","💎 1,474","25,875"
,246,최종 DEX 246% 증가,716,"83,198",-,"25,875"
,247,최종 DEX 247% 증가,720,"83,918",-,"25,875"
,248,최종 DEX 248% 증가,723,"84,641",-,"25,875"
,249,최종 DEX 249% 증가,726,"85,367",-,"25,875"
,250,최종 DEX 250% 증가,729,"86,096","💎 1,549","27,424"
,251,최종 DEX 251% 증가,733,"86,829",-,"27,424"
,252,최종 DEX 252% 증가,736,"87,565",-,"27,424"
,253,최종 DEX 253% 증가,739,"88,304",-,"27,424"
,254,최종 DEX 254% 증가,743,"89,047",-,"27,424"
,255,최종 DEX 255% 증가,746,"89,793","💎 1,626","29,050"
,256,최종 DEX 256% 증가,749,"90,542",-,"29,050"
,257,최종 DEX 257% 증가,752,"91,294",-,"29,050"
,258,최종 DEX 258% 증가,756,"92,050",-,"29,050"
,259,최종 DEX 259% 증가,759,"92,809",-,"29,050"
,260,최종 DEX 260% 증가,762,"93,571","💎 1,706","30,756"
,261,최종 DEX 261% 증가,765,"94,336",-,"30,756"
,262,최종 DEX 262% 증가,769,"95,105",-,"30,756"
,263,최종 DEX 263% 증가,772,"95,877",-,"30,756"
,264,최종 DEX 264% 증가,775,"96,652",-,"30,756"
,265,최종 DEX 265% 증가,779,"97,431","💎 1,789","32,545"
,266,최종 DEX 266% 증가,782,"98,213",-,"32,545"
,267,최종 DEX 267% 증가,785,"98,998",-,"32,545"
,268,최종 DEX 268% 증가,788,"99,786",-,"32,545"
,269,최종 DEX 269% 증가,792,"100,578",-,"32,545"
,270,최종 DEX 270% 증가,795,"101,373","💎 1,875","34,420"
,271,최종 DEX 271% 증가,798,"102,171",-,"34,420"
,272,최종 DEX 272% 증가,802,"102,973",-,"34,420"
,273,최종 DEX 273% 증가,805,"103,778",-,"34,420"
,274,최종 DEX 274% 증가,808,"104,586",-,"34,420"
,275,최종 DEX 275% 증가,811,"105,397","💎 1,964","36,384"
,276,최종 DEX 276% 증가,815,"106,212",-,"36,384"
,277,최종 DEX 277% 증가,818,"107,030",-,"36,384"
,278,최종 DEX 278% 증가,821,"107,851",-,"36,384"
,279,최종 DEX 279% 증가,825,"108,676",-,"36,384"
,280,최종 DEX 280% 증가,828,"109,504","💎 2,056","38,440"
,281,최종 DEX 281% 증가,831,"110,335",-,"38,440"
,282,최종 DEX 282% 증가,835,"111,170",-,"38,440"
,283,최종 DEX 283% 증가,838,"112,008",-,"38,440"
,284,최종 DEX 284% 증가,841,"112,849",-,"38,440"
,285,최종 DEX 285% 증가,845,"113,694","💎 2,151","40,591"
,286,최종 DEX 286% 증가,848,"114,542",-,"40,591"
,287,최종 DEX 287% 증가,851,"115,393",-,"40,591"
,288,최종 DEX 288% 증가,854,"116,247",-,"40,591"
,289,최종 DEX 289% 증가,858,"117,105",-,"40,591"
,290,최종 DEX 290% 증가,861,"117,966","💎 2,249","42,840"
,291,최종 DEX 291% 증가,864,"118,830",-,"42,840"
,292,최종 DEX 292% 증가,868,"119,698",-,"42,840"
,293,최종 DEX 293% 증가,871,"120,569",-,"42,840"
,294,최종 DEX 294% 증가,874,"121,443",-,"42,840"
,295,최종 DEX 295% 증가,878,"122,321","💎 2,351","45,191"
,296,최종 DEX 296% 증가,881,"123,202",-,"45,191"
,297,최종 DEX 297% 증가,884,"124,086",-,"45,191"
,298,최종 DEX 298% 증가,888,"124,974",-,"45,191"
,299,최종 DEX 299% 증가,891,"125,865",-,"45,191"
,300,최종 DEX 300% 증가,894,"126,759",-,"45,191"
