세가지 보석,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,186,올스텟 +186,38,"3,553",-,"5,844"
,187,올스텟 +187,38,"3,591",-,"5,844"
,188,올스텟 +188,38,"3,629",-,"5,844"
,189,올스텟 +189,38,"3,667",-,"5,844"
,190,올스텟 +190,38,"3,705",💎 328,"6,172"
,191,올스텟 +191,39,"3,744",-,"6,172"
,192,올스텟 +192,39,"3,783",-,"6,172"
,193,올스텟 +193,39,"3,822",-,"6,172"
,194,올스텟 +194,39,"3,861",-,"6,172"
,195,올스텟 +195,39,"3,900",💎 346,"6,518"
,196,올스텟 +196,40,"3,940",-,"6,518"
,197,올스텟 +197,40,"3,980",-,"6,518"
,198,올스텟 +198,40,"4,020",-,"6,518"
,199,올스텟 +199,40,"4,060",-,"6,518"
,200,올스텟 +200,40,"4,100",💎 366,"6,884"
,201,올스텟 +201,41,"4,141",-,"6,884"
,202,올스텟 +202,41,"4,182",-,"6,884"
,203,올스텟 +203,41,"4,223",-,"6,884"
,204,올스텟 +204,41,"4,264",-,"6,884"
,205,올스텟 +205,41,"4,305",💎 386,"7,270"
,206,올스텟 +206,42,"4,347",-,"7,270"
,207,올스텟 +207,42,"4,389",-,"7,270"
,208,올스텟 +208,42,"4,431",-,"7,270"
,209,올스텟 +209,42,"4,473",-,"7,270"
,210,올스텟 +210,42,"4,515",💎 408,"7,678"
,211,올스텟 +211,43,"4,558",-,"7,678"
,212,올스텟 +212,43,"4,601",-,"7,678"
,213,올스텟 +213,43,"4,644",-,"7,678"
,214,올스텟 +214,43,"4,687",-,"7,678"
,215,올스텟 +215,43,"4,730",💎 430,"8,108"
,216,올스텟 +216,44,"4,774",-,"8,108"
,217,올스텟 +217,44,"4,818",-,"8,108"
,218,올스텟 +218,44,"4,862",-,"8,108"
,219,올스텟 +219,44,"4,906",-,"8,108"
,220,올스텟 +220,44,"4,950",💎 454,"8,562"
,221,올스텟 +221,45,"4,995",-,"8,562"
,222,올스텟 +222,45,"5,040",-,"8,562"
,223,올스텟 +223,45,"5,085",-,"8,562"
,224,올스텟 +224,45,"5,130",-,"8,562"
,225,올스텟 +225,45,"5,175",💎 479,"9,041"
,226,올스텟 +226,46,"5,221",-,"9,041"
,227,올스텟 +227,46,"5,267",-,"9,041"
,228,올스텟 +228,46,"5,313",-,"9,041"
,229,올스텟 +229,46,"5,359",-,"9,041"
,230,올스텟 +230,46,"5,405",💎 505,"9,546"
,231,올스텟 +231,47,"5,452",-,"9,546"
,232,올스텟 +232,47,"5,499",-,"9,546"
,233,올스텟 +233,47,"5,546",-,"9,546"
,234,올스텟 +234,47,"5,593",-,"9,546"
,235,올스텟 +235,47,"5,640",💎 532,"10,078"
,236,올스텟 +236,48,"5,688",-,"10,078"
,237,올스텟 +237,48,"5,736",-,"10,078"
,238,올스텟 +238,48,"5,784",-,"10,078"
,239,올스텟 +239,48,"5,832",-,"10,078"
,240,올스텟 +240,48,"5,880",💎 560,"10,638"
,241,올스텟 +241,49,"5,929",-,"10,638"
,242,올스텟 +242,49,"5,978",-,"10,638"
,243,올스텟 +243,49,"6,027",-,"10,638"
,244,올스텟 +244,49,"6,076",-,"10,638"
,245,올스텟 +245,49,"6,125",💎 589,"11,227"
,246,올스텟 +246,50,"6,175",-,"11,227"
,247,올스텟 +247,50,"6,225",-,"11,227"
,248,올스텟 +248,50,"6,275",-,"11,227"
,249,올스텟 +249,50,"6,325",-,"11,227"
,250,올스텟 +250,50,"6,375",💎 620,"11,847"
,251,올스텟 +251,51,"6,426",-,"11,847"
,252,올스텟 +252,51,"6,477",-,"11,847"
,253,올스텟 +253,51,"6,528",-,"11,847"
,254,올스텟 +254,51,"6,579",-,"11,847"
,255,올스텟 +255,51,"6,630",💎 652,"12,499"
,256,올스텟 +256,52,"6,682",-,"12,499"
,257,올스텟 +257,52,"6,734",-,"12,499"
,258,올스텟 +258,52,"6,786",-,"12,499"
,259,올스텟 +259,52,"6,838",-,"12,499"
,260,올스텟 +260,52,"6,890",💎 685,"13,184"
,261,올스텟 +261,53,"6,943",-,"13,184"
,262,올스텟 +262,53,"6,996",-,"13,184"
,263,올스텟 +263,53,"7,049",-,"13,184"
,264,올스텟 +264,53,"7,102",-,"13,184"
,265,올스텟 +265,53,"7,155",💎 719,"13,903"
,266,올스텟 +266,54,"7,209",-,"13,903"
,267,올스텟 +267,54,"7,263",-,"13,903"
,268,올스텟 +268,54,"7,317",-,"13,903"
,269,올스텟 +269,54,"7,371",-,"13,903"
,270,올스텟 +270,54,"7,425",💎 755,"14,658"
,271,올스텟 +271,55,"7,480",-,"14,658"
,272,올스텟 +272,55,"7,535",-,"14,658"
,273,올스텟 +273,55,"7,590",-,"14,658"
,274,올스텟 +274,55,"7,645",-,"14,658"
,275,올스텟 +275,55,"7,700",💎 792,"15,450"
,276,올스텟 +276,56,"7,756",-,"15,450"
,277,올스텟 +277,56,"7,812",-,"15,450"
,278,올스텟 +278,56,"7,868",-,"15,450"
,279,올스텟 +279,56,"7,924",-,"15,450"
,280,올스텟 +280,56,"7,980",💎 831,"16,281"
,281,올스텟 +281,57,"8,037",-,"16,281"
,282,올스텟 +282,57,"8,094",-,"16,281"
,283,올스텟 +283,57,"8,151",-,"16,281"
,284,올스텟 +284,57,"8,208",-,"16,281"
,285,올스텟 +285,57,"8,265",💎 870,"17,151"
,286,올스텟 +286,58,"8,323",-,"17,151"
,287,올스텟 +287,58,"8,381",-,"17,151"
,288,올스텟 +288,58,"8,439",-,"17,151"
,289,올스텟 +289,58,"8,497",-,"17,151"
,290,올스텟 +290,58,"8,555",💎 912,"18,063"
,291,올스텟 +291,59,"8,614",-,"18,063"
,292,올스텟 +292,59,"8,673",-,"18,063"
,293,올스텟 +293,59,"8,732",-,"18,063"
,294,올스텟 +294,59,"8,791",-,"18,063"
,295,올스텟 +295,59,"8,850",💎 955,"19,018"
,296,올스텟 +296,60,"8,910",-,"19,018"
,297,올스텟 +297,60,"8,970",-,"19,018"
,298,올스텟 +298,60,"9,030",-,"19,018"
,299,올스텟 +299,60,"9,090",-,"19,018"
,300,올스텟 +300,60,"9,150",-,"19,018"
