결의의 증표,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,120,최종 공격력 120% 증가,429,"24,411",💎 373,"4,860"
,121,최종 공격력 121% 증가,433,"24,844",-,"4,860"
,122,최종 공격력 122% 증가,437,"25,281",-,"4,860"
,123,최종 공격력 123% 증가,441,"25,722",-,"4,860"
,124,최종 공격력 124% 증가,446,"26,168",-,"4,860"
,125,최종 공격력 125% 증가,450,"26,618",💎 399,"5,259"
,126,최종 공격력 126% 증가,454,"27,072",-,"5,259"
,127,최종 공격력 127% 증가,458,"27,530",-,"5,259"
,128,최종 공격력 128% 증가,462,"27,992",-,"5,259"
,129,최종 공격력 129% 증가,466,"28,458",-,"5,259"
,130,최종 공격력 130% 증가,470,"28,928",💎 428,"5,687"
,131,최종 공격력 131% 증가,474,"29,402",-,"5,687"
,132,최종 공격력 132% 증가,478,"29,880",-,"5,687"
,133,최종 공격력 133% 증가,482,"30,362",-,"5,687"
,134,최종 공격력 134% 증가,486,"30,848",-,"5,687"
,135,최종 공격력 135% 증가,490,"31,338",💎 459,"6,146"
,136,최종 공격력 136% 증가,494,"31,832",-,"6,146"
,137,최종 공격력 137% 증가,498,"32,330",-,"6,146"
,138,최종 공격력 138% 증가,502,"32,832",-,"6,146"
,139,최종 공격력 139% 증가,506,"33,338",-,"6,146"
,140,최종 공격력 140% 증가,510,"33,848",💎 492,"6,638"
,141,최종 공격력 141% 증가,514,"34,362",-,"6,638"
,142,최종 공격력 142% 증가,519,"34,881",-,"6,638"
,143,최종 공격력 143% 증가,523,"35,404",-,"6,638"
,144,최종 공격력 144% 증가,527,"35,931",-,"6,638"
,145,최종 공격력 145% 증가,531,"36,462",💎 527,"7,165"
,146,최종 공격력 146% 증가,535,"36,997",-,"7,165"
,147,최종 공격력 147% 증가,539,"37,536",-,"7,165"
,148,최종 공격력 148% 증가,543,"38,079",-,"7,165"
,149,최종 공격력 149% 증가,547,"38,626",-,"7,165"
,150,최종 공격력 150% 증가,551,"39,177",💎 564,"7,729"
,151,최종 공격력 151% 증가,555,"39,732",-,"7,729"
,152,최종 공격력 152% 증가,560,"40,292",-,"7,729"
,153,최종 공격력 153% 증가,564,"40,856",-,"7,729"
,154,최종 공격력 154% 증가,568,"41,424",-,"7,729"
,155,최종 공격력 155% 증가,572,"41,996",💎 603,"8,332"
,156,최종 공격력 156% 증가,576,"42,572",-,"8,332"
,157,최종 공격력 157% 증가,580,"43,152",-,"8,332"
,158,최종 공격력 158% 증가,584,"43,736",-,"8,332"
,159,최종 공격력 159% 증가,588,"44,324",-,"8,332"
,160,최종 공격력 160% 증가,593,"44,917",💎 645,"8,977"
,161,최종 공격력 161% 증가,597,"45,514",-,"8,977"
,162,최종 공격력 162% 증가,601,"46,115",-,"8,977"
,163,최종 공격력 163% 증가,605,"46,720",-,"8,977"
,164,최종 공격력 164% 증가,609,"47,329",-,"8,977"
,165,최종 공격력 165% 증가,613,"47,942",💎 689,"9,666"
,166,최종 공격력 166% 증가,617,"48,559",-,"9,666"
,167,최종 공격력 167% 증가,622,"49,181",-,"9,666"
,168,최종 공격력 168% 증가,626,"49,807",-,"9,666"
,169,최종 공격력 169% 증가,630,"50,437",-,"9,666"
,170,최종 공격력 170% 증가,634,"51,071",💎 736,"10,402"
,171,최종 공격력 171% 증가,638,"51,709",-,"10,402"
,172,최종 공격력 172% 증가,642,"52,351",-,"10,402"
,173,최종 공격력 173% 증가,647,"52,998",-,"10,402"
,174,최종 공격력 174% 증가,651,"53,649",-,"10,402"
,175,최종 공격력 175% 증가,655,"54,304",💎 785,"11,187"
,176,최종 공격력 176% 증가,659,"54,963",-,"11,187"
,177,최종 공격력 177% 증가,663,"55,626",-,"11,187"
,178,최종 공격력 178% 증가,668,"56,294",-,"11,187"
,179,최종 공격력 179% 증가,672,"56,966",-,"11,187"
,180,최종 공격력 180% 증가,676,"57,642",💎 837,"12,024"
,181,최종 공격력 181% 증가,680,"58,322",-,"12,024"
,182,최종 공격력 182% 증가,684,"59,006",-,"12,024"
,183,최종 공격력 183% 증가,688,"59,694",-,"12,024"
,184,최종 공격력 184% 증가,693,"60,387",-,"12,024"
,185,최종 공격력 185% 증가,697,"61,084",💎 891,"12,915"
,186,최종 공격력 186% 증가,701,"61,785",-,"12,915"
,187,최종 공격력 187% 증가,705,"62,490",-,"12,915"
,188,최종 공격력 188% 증가,709,"63,199",-,"12,915"
,189,최종 공격력 189% 증가,714,"63,913",-,"12,915"
,190,최종 공격력 190% 증가,718,"64,631",💎 949,"13,864"
,191,최종 공격력 191% 증가,722,"65,353",-,"13,864"
,192,최종 공격력 192% 증가,726,"66,079",-,"13,864"
,193,최종 공격력 193% 증가,731,"66,810",-,"13,864"
,194,최종 공격력 194% 증가,735,"67,545",-,"13,864"
,195,최종 공격력 195% 증가,739,"68,284","💎 1,009","14,873"
,196,최종 공격력 196% 증가,743,"69,027",-,"14,873"
,197,최종 공격력 197% 증가,747,"69,774",-,"14,873"
,198,최종 공격력 198% 증가,752,"70,526",-,"14,873"
,199,최종 공격력 199% 증가,756,"71,282",-,"14,873"
,200,최종 공격력 200% 증가,760,"72,042","💎 1,072","15,945"
,201,최종 공격력 201% 증가,764,"72,806",-,"15,945"
,202,최종 공격력 202% 증가,769,"73,575",-,"15,945"
,203,최종 공격력 203% 증가,773,"74,348",-,"15,945"
,204,최종 공격력 204% 증가,777,"75,125",-,"15,945"
,205,최종 공격력 205% 증가,781,"75,906","💎 1,138","17,083"
,206,최종 공격력 206% 증가,786,"76,692",-,"17,083"
,207,최종 공격력 207% 증가,790,"77,482",-,"17,083"
,208,최종 공격력 208% 증가,794,"78,276",-,"17,083"
,209,최종 공격력 209% 증가,798,"79,074",-,"17,083"
,210,최종 공격력 210% 증가,803,"79,877","💎 1,208","18,291"
,211,최종 공격력 211% 증가,807,"80,684",-,"18,291"
,212,최종 공격력 212% 증가,811,"81,495",-,"18,291"
,213,최종 공격력 213% 증가,815,"82,310",-,"18,291"
,214,최종 공격력 214% 증가,820,"83,130",-,"18,291"
,215,최종 공격력 215% 증가,824,"83,954","💎 1,280","19,571"
,216,최종 공격력 216% 증가,828,"84,782",-,"19,571"
,217,최종 공격력 217% 증가,832,"85,614",-,"19,571"
,218,최종 공격력 218% 증가,837,"86,451",-,"19,571"
,219,최종 공격력 219% 증가,841,"87,292",-,"19,571"
,220,최종 공격력 220% 증가,845,"88,137","💎 1,356","20,927"
,221,최종 공격력 221% 증가,850,"88,987",-,"20,927"
,222,최종 공격력 222% 증가,854,"89,841",-,"20,927"
,223,최종 공격력 223% 증가,858,"90,699",-,"20,927"
,224,최종 공격력 224% 증가,862,"91,561",-,"20,927"
,225,최종 공격력 225% 증가,867,"92,428","💎 1,435","22,362"
,226,최종 공격력 226% 증가,871,"93,299",-,"22,362"
,227,최종 공격력 227% 증가,875,"94,174",-,"22,362"
,228,최종 공격력 228% 증가,880,"95,054",-,"22,362"
,229,최종 공격력 229% 증가,884,"95,938",-,"22,362"
,230,최종 공격력 230% 증가,888,"96,826","💎 1,518","23,880"
,231,최종 공격력 231% 증가,892,"97,718",-,"23,880"
,232,최종 공격력 232% 증가,897,"98,615",-,"23,880"
,233,최종 공격력 233% 증가,901,"99,516",-,"23,880"
,234,최종 공격력 234% 증가,905,"100,421",-,"23,880"
,235,최종 공격력 235% 증가,910,"101,331","💎 1,604","25,484"
,236,최종 공격력 236% 증가,914,"102,245",-,"25,484"
,237,최종 공격력 237% 증가,918,"103,163",-,"25,484"
,238,최종 공격력 238% 증가,923,"104,086",-,"25,484"
,239,최종 공격력 239% 증가,927,"105,013",-,"25,484"
,240,최종 공격력 240% 증가,931,"105,944","💎 1,694","27,178"
,241,최종 공격력 241% 증가,935,"106,879",-,"27,178"
,242,최종 공격력 242% 증가,940,"107,819",-,"27,178"
,243,최종 공격력 243% 증가,944,"108,763",-,"27,178"
,244,최종 공격력 244% 증가,948,"109,711",-,"27,178"
,245,최종 공격력 245% 증가,953,"110,664","💎 1,787","28,965"
,246,최종 공격력 246% 증가,957,"111,621",-,"28,965"
,247,최종 공격력 247% 증가,961,"112,582",-,"28,965"
,248,최종 공격력 248% 증가,966,"113,548",-,"28,965"
,249,최종 공격력 249% 증가,970,"114,518",-,"28,965"
,250,최종 공격력 250% 증가,974,"115,492","💎 1,884","30,849"
,251,최종 공격력 251% 증가,979,"116,471",-,"30,849"
,252,최종 공격력 252% 증가,983,"117,454",-,"30,849"
,253,최종 공격력 253% 증가,987,"118,441",-,"30,849"
,254,최종 공격력 254% 증가,992,"119,433",-,"30,849"
,255,최종 공격력 255% 증가,996,"120,429","💎 1,985","32,834"
,256,최종 공격력 256% 증가,"1,000","121,429",-,"32,834"
,257,최종 공격력 257% 증가,"1,005","122,434",-,"32,834"
,258,최종 공격력 258% 증가,"1,009","123,443",-,"32,834"
,259,최종 공격력 259% 증가,"1,013","124,456",-,"32,834"
,260,최종 공격력 260% 증가,"1,018","125,474","💎 2,089","34,923"
,261,최종 공격력 261% 증가,"1,022","126,496",-,"34,923"
,262,최종 공격력 262% 증가,"1,027","127,523",-,"34,923"
,263,최종 공격력 263% 증가,"1,031","128,554",-,"34,923"
,264,최종 공격력 264% 증가,"1,035","129,589",-,"34,923"
,265,최종 공격력 265% 증가,"1,040","130,629","💎 2,198","37,121"
,266,최종 공격력 266% 증가,"1,044","131,673",-,"37,121"
,267,최종 공격력 267% 증가,"1,048","132,721",-,"37,121"
,268,최종 공격력 268% 증가,"1,053","133,774",-,"37,121"
,269,최종 공격력 269% 증가,"1,057","134,831",-,"37,121"
,270,최종 공격력 270% 증가,"1,061","135,892","💎 2,310","39,431"
,271,최종 공격력 271% 증가,"1,066","136,958",-,"39,431"
,272,최종 공격력 272% 증가,"1,070","138,028",-,"39,431"
,273,최종 공격력 273% 증가,"1,075","139,103",-,"39,431"
,274,최종 공격력 274% 증가,"1,079","140,182",-,"39,431"
,275,최종 공격력 275% 증가,"1,083","141,265","💎 2,427","41,858"
,276,최종 공격력 276% 증가,"1,088","142,353",-,"41,858"
,277,최종 공격력 277% 증가,"1,092","143,445",-,"41,858"
,278,최종 공격력 278% 증가,"1,096","144,541",-,"41,858"
,279,최종 공격력 279% 증가,"1,101","145,642",-,"41,858"
,280,최종 공격력 280% 증가,"1,105","146,747","💎 2,548","44,406"
,281,최종 공격력 281% 증가,"1,110","147,857",-,"44,406"
,282,최종 공격력 282% 증가,"1,114","148,971",-,"44,406"
,283,최종 공격력 283% 증가,"1,118","150,089",-,"44,406"
,284,최종 공격력 284% 증가,"1,123","151,212",-,"44,406"
,285,최종 공격력 285% 증가,"1,127","152,339","💎 2,673","47,079"
,286,최종 공격력 286% 증가,"1,131","153,470",-,"47,079"
,287,최종 공격력 287% 증가,"1,136","154,606",-,"47,079"
,288,최종 공격력 288% 증가,"1,140","155,746",-,"47,079"
,289,최종 공격력 289% 증가,"1,145","156,891",-,"47,079"
,290,최종 공격력 290% 증가,"1,149","158,040","💎 2,803","49,882"
,291,최종 공격력 291% 증가,"1,153","159,193",-,"49,882"
,292,최종 공격력 292% 증가,"1,158","160,351",-,"49,882"
,293,최종 공격력 293% 증가,"1,162","161,513",-,"49,882"
,294,최종 공격력 294% 증가,"1,167","162,680",-,"49,882"
,295,최종 공격력 295% 증가,"1,171","163,851","💎 2,936","52,818"
,296,최종 공격력 296% 증가,"1,175","165,026",-,"52,818"
,297,최종 공격력 297% 증가,"1,180","166,206",-,"52,818"
,298,최종 공격력 298% 증가,"1,184","167,390",-,"52,818"
,299,최종 공격력 299% 증가,"1,189","168,579",-,"52,818"
,300,최종 공격력 300% 증가,"1,193","169,772",-,"52,818"
