어둠에 물든 구슬,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,71,이세계의 재화 2배 획득 확률 35.5% 증가,542,"18,171",-,"6,598"
,72,이세계의 재화 2배 획득 확률 36% 증가,551,"18,722",-,"6,598"
,73,이세계의 재화 2배 획득 확률 36.5% 증가,560,"19,282",-,"6,598"
,74,이세계의 재화 2배 획득 확률 37% 증가,568,"19,850",-,"6,598"
,75,이세계의 재화 2배 획득 확률 37.5% 증가,577,"20,427","💎 1,507","8,105"
,76,이세계의 재화 2배 획득 확률 38% 증가,586,"21,013",-,"8,105"
,77,이세계의 재화 2배 획득 확률 38.5% 증가,595,"21,608",-,"8,105"
,78,이세계의 재화 2배 획득 확률 39% 증가,604,"22,212",-,"8,105"
,79,이세계의 재화 2배 획득 확률 39.5% 증가,612,"22,824",-,"8,105"
,80,이세계의 재화 2배 획득 확률 40% 증가,621,"23,445","💎 1,788","9,893"
,81,이세계의 재화 2배 획득 확률 40.5% 증가,630,"24,075",-,"9,893"
,82,이세계의 재화 2배 획득 확률 41% 증가,639,"24,714",-,"9,893"
,83,이세계의 재화 2배 획득 확률 41.5% 증가,648,"25,362",-,"9,893"
,84,이세계의 재화 2배 획득 확률 42% 증가,657,"26,019",-,"9,893"
,85,이세계의 재화 2배 획득 확률 42.5% 증가,666,"26,685","💎 2,106","11,999"
,86,이세계의 재화 2배 획득 확률 43% 증가,674,"27,359",-,"11,999"
,87,이세계의 재화 2배 획득 확률 43.5% 증가,683,"28,042",-,"11,999"
,88,이세계의 재화 2배 획득 확률 44% 증가,692,"28,734",-,"11,999"
,89,이세계의 재화 2배 획득 확률 44.5% 증가,701,"29,435",-,"11,999"
,90,이세계의 재화 2배 획득 확률 45% 증가,710,"30,145","💎 2,461","14,460"
,91,이세계의 재화 2배 획득 확률 45.5% 증가,719,"30,864",-,"14,460"
,92,이세계의 재화 2배 획득 확률 46% 증가,728,"31,592",-,"14,460"
,93,이세계의 재화 2배 획득 확률 46.5% 증가,737,"32,329",-,"14,460"
,94,이세계의 재화 2배 획득 확률 47% 증가,746,"33,075",-,"14,460"
,95,이세계의 재화 2배 획득 확률 47.5% 증가,755,"33,830","💎 2,858","17,318"
,96,이세계의 재화 2배 획득 확률 48% 증가,764,"34,594",-,"17,318"
,97,이세계의 재화 2배 획득 확률 48.5% 증가,773,"35,367",-,"17,318"
,98,이세계의 재화 2배 획득 확률 49% 증가,782,"36,149",-,"17,318"
,99,이세계의 재화 2배 획득 확률 49.5% 증가,792,"36,941",-,"17,318"
,100,이세계의 재화 2배 획득 확률 50% 증가,801,"37,742",-,"17,318"
