고룡의 비늘,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,64,최종 크리티컬 데미지 64% 증가,267,"8,133",-,"1,643"
,65,최종 크리티컬 데미지 65% 증가,271,"8,404",💎 180,"1,823"
,66,최종 크리티컬 데미지 66% 증가,276,"8,680",-,"1,823"
,67,최종 크리티컬 데미지 67% 증가,281,"8,961",-,"1,823"
,68,최종 크리티컬 데미지 68% 증가,286,"9,247",-,"1,823"
,69,최종 크리티컬 데미지 69% 증가,290,"9,537",-,"1,823"
,70,최종 크리티컬 데미지 70% 증가,295,"9,832",💎 193,"2,016"
,71,최종 크리티컬 데미지 71% 증가,300,"10,132",-,"2,016"
,72,최종 크리티컬 데미지 72% 증가,304,"10,436",-,"2,016"
,73,최종 크리티컬 데미지 73% 증가,309,"10,745",-,"2,016"
,74,최종 크리티컬 데미지 74% 증가,314,"11,059",-,"2,016"
,75,최종 크리티컬 데미지 75% 증가,319,"11,378",💎 208,"2,224"
,76,최종 크리티컬 데미지 76% 증가,324,"11,702",-,"2,224"
,77,최종 크리티컬 데미지 77% 증가,328,"12,030",-,"2,224"
,78,최종 크리티컬 데미지 78% 증가,333,"12,363",-,"2,224"
,79,최종 크리티컬 데미지 79% 증가,338,"12,701",-,"2,224"
,80,최종 크리티컬 데미지 80% 증가,343,"13,044",💎 224,"2,448"
,81,최종 크리티컬 데미지 81% 증가,348,"13,392",-,"2,448"
,82,최종 크리티컬 데미지 82% 증가,352,"13,744",-,"2,448"
,83,최종 크리티컬 데미지 83% 증가,357,"14,101",-,"2,448"
,84,최종 크리티컬 데미지 84% 증가,362,"14,463",-,"2,448"
,85,최종 크리티컬 데미지 85% 증가,367,"14,830",💎 242,"2,690"
,86,최종 크리티컬 데미지 86% 증가,372,"15,202",-,"2,690"
,87,최종 크리티컬 데미지 87% 증가,377,"15,579",-,"2,690"
,88,최종 크리티컬 데미지 88% 증가,381,"15,960",-,"2,690"
,89,최종 크리티컬 데미지 89% 증가,386,"16,346",-,"2,690"
,90,최종 크리티컬 데미지 90% 증가,391,"16,737",💎 262,"2,952"
,91,최종 크리티컬 데미지 91% 증가,396,"17,133",-,"2,952"
,92,최종 크리티컬 데미지 92% 증가,401,"17,534",-,"2,952"
,93,최종 크리티컬 데미지 93% 증가,406,"17,940",-,"2,952"
,94,최종 크리티컬 데미지 94% 증가,411,"18,351",-,"2,952"
,95,최종 크리티컬 데미지 95% 증가,415,"18,766",💎 285,"3,237"
,96,최종 크리티컬 데미지 96% 증가,420,"19,186",-,"3,237"
,97,최종 크리티컬 데미지 97% 증가,425,"19,611",-,"3,237"
,98,최종 크리티컬 데미지 98% 증가,430,"20,041",-,"3,237"
,99,최종 크리티컬 데미지 99% 증가,435,"20,476",-,"3,237"
,100,최종 크리티컬 데미지 100% 증가,440,"20,916",💎 309,"3,546"
,101,최종 크리티컬 데미지 101% 증가,445,"21,361",-,"3,546"
,102,최종 크리티컬 데미지 102% 증가,450,"21,811",-,"3,546"
,103,최종 크리티컬 데미지 103% 증가,455,"22,266",-,"3,546"
,104,최종 크리티컬 데미지 104% 증가,460,"22,726",-,"3,546"
,105,최종 크리티컬 데미지 105% 증가,465,"23,191",💎 336,"3,882"
,106,최종 크리티컬 데미지 106% 증가,470,"23,661",-,"3,882"
,107,최종 크리티컬 데미지 107% 증가,475,"24,136",-,"3,882"
,108,최종 크리티컬 데미지 108% 증가,480,"24,616",-,"3,882"
,109,최종 크리티컬 데미지 109% 증가,485,"25,101",-,"3,882"
,110,최종 크리티컬 데미지 110% 증가,489,"25,590",💎 364,"4,246"
,111,최종 크리티컬 데미지 111% 증가,494,"26,084",-,"4,246"
,112,최종 크리티컬 데미지 112% 증가,499,"26,583",-,"4,246"
,113,최종 크리티컬 데미지 113% 증가,504,"27,087",-,"4,246"
,114,최종 크리티컬 데미지 114% 증가,509,"27,596",-,"4,246"
,115,최종 크리티컬 데미지 115% 증가,514,"28,110",💎 396,"4,642"
,116,최종 크리티컬 데미지 116% 증가,519,"28,629",-,"4,642"
,117,최종 크리티컬 데미지 117% 증가,524,"29,153",-,"4,642"
,118,최종 크리티컬 데미지 118% 증가,529,"29,682",-,"4,642"
,119,최종 크리티컬 데미지 119% 증가,534,"30,216",-,"4,642"
,120,최종 크리티컬 데미지 120% 증가,539,"30,755",💎 430,"5,072"
,121,최종 크리티컬 데미지 121% 증가,544,"31,299",-,"5,072"
,122,최종 크리티컬 데미지 122% 증가,549,"31,848",-,"5,072"
,123,최종 크리티컬 데미지 123% 증가,554,"32,402",-,"5,072"
,124,최종 크리티컬 데미지 124% 증가,560,"32,962",-,"5,072"
,125,최종 크리티컬 데미지 125% 증가,565,"33,527",💎 466,"5,538"
,126,최종 크리티컬 데미지 126% 증가,570,"34,097",-,"5,538"
,127,최종 크리티컬 데미지 127% 증가,575,"34,672",-,"5,538"
,128,최종 크리티컬 데미지 128% 증가,580,"35,252",-,"5,538"
,129,최종 크리티컬 데미지 129% 증가,585,"35,837",-,"5,538"
,130,최종 크리티컬 데미지 130% 증가,590,"36,427",💎 506,"6,044"
,131,최종 크리티컬 데미지 131% 증가,595,"37,022",-,"6,044"
,132,최종 크리티컬 데미지 132% 증가,600,"37,622",-,"6,044"
,133,최종 크리티컬 데미지 133% 증가,605,"38,227",-,"6,044"
,134,최종 크리티컬 데미지 134% 증가,610,"38,837",-,"6,044"
,135,최종 크리티컬 데미지 135% 증가,615,"39,452",💎 548,"6,592"
,136,최종 크리티컬 데미지 136% 증가,620,"40,072",-,"6,592"
,137,최종 크리티컬 데미지 137% 증가,625,"40,697",-,"6,592"
,138,최종 크리티컬 데미지 138% 증가,630,"41,327",-,"6,592"
,139,최종 크리티컬 데미지 139% 증가,635,"41,962",-,"6,592"
,140,최종 크리티컬 데미지 140% 증가,641,"42,603",💎 594,"7,186"
,141,최종 크리티컬 데미지 141% 증가,646,"43,249",-,"7,186"
,142,최종 크리티컬 데미지 142% 증가,651,"43,900",-,"7,186"
,143,최종 크리티컬 데미지 143% 증가,656,"44,556",-,"7,186"
,144,최종 크리티컬 데미지 144% 증가,661,"45,217",-,"7,186"
,145,최종 크리티컬 데미지 145% 증가,666,"45,883",💎 642,"7,828"
,146,최종 크리티컬 데미지 146% 증가,671,"46,554",-,"7,828"
,147,최종 크리티컬 데미지 147% 증가,676,"47,230",-,"7,828"
,148,최종 크리티컬 데미지 148% 증가,681,"47,911",-,"7,828"
,149,최종 크리티컬 데미지 149% 증가,687,"48,598",-,"7,828"
,150,최종 크리티컬 데미지 150% 증가,692,"49,290",💎 694,"8,522"
,151,최종 크리티컬 데미지 151% 증가,697,"49,987",-,"8,522"
,152,최종 크리티컬 데미지 152% 증가,702,"50,689",-,"8,522"
,153,최종 크리티컬 데미지 153% 증가,707,"51,396",-,"8,522"
,154,최종 크리티컬 데미지 154% 증가,712,"52,108",-,"8,522"
,155,최종 크리티컬 데미지 155% 증가,717,"52,825",💎 749,"9,271"
,156,최종 크리티컬 데미지 156% 증가,723,"53,548",-,"9,271"
,157,최종 크리티컬 데미지 157% 증가,728,"54,276",-,"9,271"
,158,최종 크리티컬 데미지 158% 증가,733,"55,009",-,"9,271"
,159,최종 크리티컬 데미지 159% 증가,738,"55,747",-,"9,271"
,160,최종 크리티컬 데미지 160% 증가,743,"56,490",💎 808,"10,079"
,161,최종 크리티컬 데미지 161% 증가,748,"57,238",-,"10,079"
,162,최종 크리티컬 데미지 162% 증가,754,"57,992",-,"10,079"
,163,최종 크리티컬 데미지 163% 증가,759,"58,751",-,"10,079"
,164,최종 크리티컬 데미지 164% 증가,764,"59,515",-,"10,079"
,165,최종 크리티컬 데미지 165% 증가,769,"60,284",💎 870,"10,949"
,166,최종 크리티컬 데미지 166% 증가,774,"61,058",-,"10,949"
,167,최종 크리티컬 데미지 167% 증가,779,"61,837",-,"10,949"
,168,최종 크리티컬 데미지 168% 증가,785,"62,622",-,"10,949"
,169,최종 크리티컬 데미지 169% 증가,790,"63,412",-,"10,949"
,170,최종 크리티컬 데미지 170% 증가,795,"64,207",💎 936,"11,885"
,171,최종 크리티컬 데미지 171% 증가,800,"65,007",-,"11,885"
,172,최종 크리티컬 데미지 172% 증가,805,"65,812",-,"11,885"
,173,최종 크리티컬 데미지 173% 증가,811,"66,623",-,"11,885"
,174,최종 크리티컬 데미지 174% 증가,816,"67,439",-,"11,885"
,175,최종 크리티컬 데미지 175% 증가,821,"68,260","💎 1,006","12,891"
,176,최종 크리티컬 데미지 176% 증가,826,"69,086",-,"12,891"
,177,최종 크리티컬 데미지 177% 증가,831,"69,917",-,"12,891"
,178,최종 크리티컬 데미지 178% 증가,837,"70,754",-,"12,891"
,179,최종 크리티컬 데미지 179% 증가,842,"71,596",-,"12,891"
,180,최종 크리티컬 데미지 180% 증가,847,"72,443","💎 1,079","13,970"
,181,최종 크리티컬 데미지 181% 증가,852,"73,295",-,"13,970"
,182,최종 크리티컬 데미지 182% 증가,858,"74,153",-,"13,970"
,183,최종 크리티컬 데미지 183% 증가,863,"75,016",-,"13,970"
,184,최종 크리티컬 데미지 184% 증가,868,"75,884",-,"13,970"
,185,최종 크리티컬 데미지 185% 증가,873,"76,757","💎 1,157","15,127"
,186,최종 크리티컬 데미지 186% 증가,879,"77,636",-,"15,127"
,187,최종 크리티컬 데미지 187% 증가,884,"78,520",-,"15,127"
,188,최종 크리티컬 데미지 188% 증가,889,"79,409",-,"15,127"
,189,최종 크리티컬 데미지 189% 증가,894,"80,303",-,"15,127"
,190,최종 크리티컬 데미지 190% 증가,900,"81,203","💎 1,239","16,366"
,191,최종 크리티컬 데미지 191% 증가,905,"82,108",-,"16,366"
,192,최종 크리티컬 데미지 192% 증가,910,"83,018",-,"16,366"
,193,최종 크리티컬 데미지 193% 증가,915,"83,933",-,"16,366"
,194,최종 크리티컬 데미지 194% 증가,921,"84,854",-,"16,366"
,195,최종 크리티컬 데미지 195% 증가,926,"85,780","💎 1,325","17,691"
,196,최종 크리티컬 데미지 196% 증가,931,"86,711",-,"17,691"
,197,최종 크리티컬 데미지 197% 증가,936,"87,647",-,"17,691"
,198,최종 크리티컬 데미지 198% 증가,942,"88,589",-,"17,691"
,199,최종 크리티컬 데미지 199% 증가,947,"89,536",-,"17,691"
,200,최종 크리티컬 데미지 200% 증가,952,"90,488","💎 1,415","19,106"
,201,최종 크리티컬 데미지 201% 증가,958,"91,446",-,"19,106"
,202,최종 크리티컬 데미지 202% 증가,963,"92,409",-,"19,106"
,203,최종 크리티컬 데미지 203% 증가,968,"93,377",-,"19,106"
,204,최종 크리티컬 데미지 204% 증가,973,"94,350",-,"19,106"
,205,최종 크리티컬 데미지 205% 증가,979,"95,329","💎 1,510","20,616"
,206,최종 크리티컬 데미지 206% 증가,984,"96,313",-,"20,616"
,207,최종 크리티컬 데미지 207% 증가,989,"97,302",-,"20,616"
,208,최종 크리티컬 데미지 208% 증가,995,"98,297",-,"20,616"
,209,최종 크리티컬 데미지 209% 증가,"1,000","99,297",-,"20,616"
,210,최종 크리티컬 데미지 210% 증가,"1,005","100,302","💎 1,610","22,226"
,211,최종 크리티컬 데미지 211% 증가,"1,011","101,313",-,"22,226"
,212,최종 크리티컬 데미지 212% 증가,"1,016","102,329",-,"22,226"
,213,최종 크리티컬 데미지 213% 증가,"1,021","103,350",-,"22,226"
,214,최종 크리티컬 데미지 214% 증가,"1,026","104,376",-,"22,226"
,215,최종 크리티컬 데미지 215% 증가,"1,032","105,408","💎 1,714","23,940"
,216,최종 크리티컬 데미지 216% 증가,"1,037","106,445",-,"23,940"
,217,최종 크리티컬 데미지 217% 증가,"1,042","107,487",-,"23,940"
,218,최종 크리티컬 데미지 218% 증가,"1,048","108,535",-,"23,940"
,219,최종 크리티컬 데미지 219% 증가,"1,053","109,588",-,"23,940"
,220,최종 크리티컬 데미지 220% 증가,"1,058","110,646","💎 1,823","25,763"
,221,최종 크리티컬 데미지 221% 증가,"1,064","111,710",-,"25,763"
,222,최종 크리티컬 데미지 222% 증가,"1,069","112,779",-,"25,763"
,223,최종 크리티컬 데미지 223% 증가,"1,074","113,853",-,"25,763"
,224,최종 크리티컬 데미지 224% 증가,"1,080","114,933",-,"25,763"
,225,최종 크리티컬 데미지 225% 증가,"1,085","116,018","💎 1,937","27,700"
,226,최종 크리티컬 데미지 226% 증가,"1,090","117,108",-,"27,700"
,227,최종 크리티컬 데미지 227% 증가,"1,096","118,204",-,"27,700"
,228,최종 크리티컬 데미지 228% 증가,"1,101","119,305",-,"27,700"
,229,최종 크리티컬 데미지 229% 증가,"1,107","120,412",-,"27,700"
,230,최종 크리티컬 데미지 230% 증가,"1,112","121,524","💎 2,056","29,756"
,231,최종 크리티컬 데미지 231% 증가,"1,117","122,641",-,"29,756"
,232,최종 크리티컬 데미지 232% 증가,"1,123","123,764",-,"29,756"
,233,최종 크리티컬 데미지 233% 증가,"1,128","124,892",-,"29,756"
,234,최종 크리티컬 데미지 234% 증가,"1,133","126,025",-,"29,756"
,235,최종 크리티컬 데미지 235% 증가,"1,139","127,164","💎 2,181","31,937"
,236,최종 크리티컬 데미지 236% 증가,"1,144","128,308",-,"31,937"
,237,최종 크리티컬 데미지 237% 증가,"1,149","129,457",-,"31,937"
,238,최종 크리티컬 데미지 238% 증가,"1,155","130,612",-,"31,937"
,239,최종 크리티컬 데미지 239% 증가,"1,160","131,772",-,"31,937"
,240,최종 크리티컬 데미지 240% 증가,"1,166","132,938","💎 2,310","34,247"
,241,최종 크리티컬 데미지 241% 증가,"1,171","134,109",-,"34,247"
,242,최종 크리티컬 데미지 242% 증가,"1,176","135,285",-,"34,247"
,243,최종 크리티컬 데미지 243% 증가,"1,182","136,467",-,"34,247"
,244,최종 크리티컬 데미지 244% 증가,"1,187","137,654",-,"34,247"
,245,최종 크리티컬 데미지 245% 증가,"1,192","138,846","💎 2,445","36,692"
,246,최종 크리티컬 데미지 246% 증가,"1,198","140,044",-,"36,692"
,247,최종 크리티컬 데미지 247% 증가,"1,203","141,247",-,"36,692"
,248,최종 크리티컬 데미지 248% 증가,"1,209","142,456",-,"36,692"
,249,최종 크리티컬 데미지 249% 증가,"1,214","143,670",-,"36,692"
,250,최종 크리티컬 데미지 250% 증가,"1,219","144,889","💎 2,585","39,277"
,251,최종 크리티컬 데미지 251% 증가,"1,225","146,114",-,"39,277"
,252,최종 크리티컬 데미지 252% 증가,"1,230","147,344",-,"39,277"
,253,최종 크리티컬 데미지 253% 증가,"1,236","148,580",-,"39,277"
,254,최종 크리티컬 데미지 254% 증가,"1,241","149,821",-,"39,277"
,255,최종 크리티컬 데미지 255% 증가,"1,246","151,067","💎 2,731","42,008"
,256,최종 크리티컬 데미지 256% 증가,"1,252","152,319",-,"42,008"
,257,최종 크리티컬 데미지 257% 증가,"1,257","153,576",-,"42,008"
,258,최종 크리티컬 데미지 258% 증가,"1,263","154,839",-,"42,008"
,259,최종 크리티컬 데미지 259% 증가,"1,268","156,107",-,"42,008"
,260,최종 크리티컬 데미지 260% 증가,"1,273","157,380","💎 2,883","44,891"
,261,최종 크리티컬 데미지 261% 증가,"1,279","158,659",-,"44,891"
,262,최종 크리티컬 데미지 262% 증가,"1,284","159,943",-,"44,891"
,263,최종 크리티컬 데미지 263% 증가,"1,290","161,233",-,"44,891"
,264,최종 크리티컬 데미지 264% 증가,"1,295","162,528",-,"44,891"
,265,최종 크리티컬 데미지 265% 증가,"1,301","163,829","💎 3,041","47,932"
,266,최종 크리티컬 데미지 266% 증가,"1,306","165,135",-,"47,932"
,267,최종 크리티컬 데미지 267% 증가,"1,311","166,446",-,"47,932"
,268,최종 크리티컬 데미지 268% 증가,"1,317","167,763",-,"47,932"
,269,최종 크리티컬 데미지 269% 증가,"1,322","169,085",-,"47,932"
,270,최종 크리티컬 데미지 270% 증가,"1,328","170,413","💎 3,204","51,136"
,271,최종 크리티컬 데미지 271% 증가,"1,333","171,746",-,"51,136"
,272,최종 크리티컬 데미지 272% 증가,"1,339","173,085",-,"51,136"
,273,최종 크리티컬 데미지 273% 증가,"1,344","174,429",-,"51,136"
,274,최종 크리티컬 데미지 274% 증가,"1,350","175,779",-,"51,136"
,275,최종 크리티컬 데미지 275% 증가,"1,355","177,134","💎 3,374","54,510"
,276,최종 크리티컬 데미지 276% 증가,"1,360","178,494",-,"54,510"
,277,최종 크리티컬 데미지 277% 증가,"1,366","179,860",-,"54,510"
,278,최종 크리티컬 데미지 278% 증가,"1,371","181,231",-,"54,510"
,279,최종 크리티컬 데미지 279% 증가,"1,377","182,608",-,"54,510"
,280,최종 크리티컬 데미지 280% 증가,"1,382","183,990","💎 3,549","58,059"
,281,최종 크리티컬 데미지 281% 증가,"1,388","185,378",-,"58,059"
,282,최종 크리티컬 데미지 282% 증가,"1,393","186,771",-,"58,059"
,283,최종 크리티컬 데미지 283% 증가,"1,399","188,170",-,"58,059"
,284,최종 크리티컬 데미지 284% 증가,"1,404","189,574",-,"58,059"
,285,최종 크리티컬 데미지 285% 증가,"1,410","190,984","💎 3,731","61,790"
,286,최종 크리티컬 데미지 286% 증가,"1,415","192,399",-,"61,790"
,287,최종 크리티컬 데미지 287% 증가,"1,421","193,820",-,"61,790"
,288,최종 크리티컬 데미지 288% 증가,"1,426","195,246",-,"61,790"
,289,최종 크리티컬 데미지 289% 증가,"1,431","196,677",-,"61,790"
,290,최종 크리티컬 데미지 290% 증가,"1,437","198,114","💎 3,920","65,710"
,291,최종 크리티컬 데미지 291% 증가,"1,442","199,556",-,"65,710"
,292,최종 크리티컬 데미지 292% 증가,"1,448","201,004",-,"65,710"
,293,최종 크리티컬 데미지 293% 증가,"1,453","202,457",-,"65,710"
,294,최종 크리티컬 데미지 294% 증가,"1,459","203,916",-,"65,710"
,295,최종 크리티컬 데미지 295% 증가,"1,464","205,380","💎 4,115","69,825"
,296,최종 크리티컬 데미지 296% 증가,"1,470","206,850",-,"69,825"
,297,최종 크리티컬 데미지 297% 증가,"1,475","208,325",-,"69,825"
,298,최종 크리티컬 데미지 298% 증가,"1,481","209,806",-,"69,825"
,299,최종 크리티컬 데미지 299% 증가,"1,486","211,292",-,"69,825"
,300,최종 크리티컬 데미지 300% 증가,"1,492","212,784",-,"69,825"
