차원의 경계,소모 조각,누적 조각,최종 데미지,최종 크리데미지
151LV,"159,048","3,337,831",11.4%,11.25%
152LV,"166,900","3,504,731",11.4%,11.4%
153LV,"175,245","3,679,976",11.55%,11.4%
154LV,"183,908","3,863,884",11.55%,11.55%
155LV,"193,103","4,056,987",11.7%,11.55%
156LV,"202,758","4,259,745",11.7%,11.7%
157LV,"212,896","4,472,641",11.85%,11.7%
158LV,"223,541","4,696,182",11.85%,11.85%
159LV,"234,718","4,930,900",12%,11.85%
160LV,"246,454","5,177,354",12%,12%
161LV,"258,776","5,436,130",12.15%,12%
162LV,"271,715","5,707,845",12.15%,12.15%
163LV,"285,301","5,993,146",12.3%,12.15%
164LV,"299,566","6,292,712",12.3%,12.3%
165LV,"314,544","6,607,256",12.45%,12.3%
166LV,"330,271","6,937,527",12.45%,12.45%
167LV,"346,785","7,284,312",12.6%,12.45%
168LV,"364,124","7,648,436",12.6%,12.6%
169LV,"382,330","8,030,766",12.75%,12.6%
170LV,"401,447","8,432,213",12.75%,12.75%
171LV,"421,519","8,853,732",12.9%,12.75%
172LV,"442,595","9,296,327",12.9%,12.9%
173LV,"464,725","9,761,052",13.05%,12.9%
174LV,"487,961","10,249,013",13.05%,13.05%
175LV,"512,359","10,761,372",13.2%,13.05%
176LV,"537,977","11,299,349",13.2%,13.2%
177LV,"564,876","11,864,225",13.35%,13.2%
178LV,"593,120","12,457,345",13.35%,13.35%
179LV,"622,776","13,080,121",13.5%,13.35%
180LV,"653,915","13,734,036",13.5%,13.5%
181LV,"686,610","14,420,646",13.65%,13.5%
182LV,"720,941","15,141,587",13.65%,13.65%
183LV,"756,988","15,898,575",13.8%,13.65%
184LV,"794,837","16,693,412",13.8%,13.8%
185LV,"834,579","17,527,991",13.95%,13.8%
186LV,"876,308","18,404,299",13.95%,13.95%
187LV,"920,124","19,324,423",14.1%,13.95%
188LV,"966,130","20,290,553",14.1%,14.1%
189LV,"1,014,436","21,304,989",14.25%,14.1%
190LV,"1,065,158","22,370,147",14.25%,14.25%
191LV,"1,118,416","23,488,563",14.4%,14.25%
192LV,"1,174,337","24,662,900",14.4%,14.4%
193LV,"1,233,054","25,895,954",14.55%,14.4%
194LV,"1,294,706","27,190,660",14.55%,14.55%
195LV,"1,359,442","28,550,102",14.7%,14.55%
196LV,"1,427,414","29,977,516",14.7%,14.7%
197LV,"1,498,785","31,476,301",14.85%,14.7%
198LV,"1,573,724","33,050,025",14.85%,14.85%
199LV,"1,652,410","34,702,435",15%,14.85%
200LV,"1,735,031","36,437,466",15%,15%
